,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-05-06,127.89,129.75,127.13,129.74,129.74,77504931,0.0000,1.0,132.6463,130.8626,50.1611,17.4691,21.9462,1.5675,-0.8667,0.7007,16.2538,-174.7334,90.0000,75.0000,128.5746,132.6463,136.7179,77098307067.3829,94614066779.0000
2021-05-05,129.2,130.45,127.97,128.1,128.1,84000900,0.0000,1.0,132.6773,130.9808,47.5041,16.6009,16.3843,1.7841,-0.8863,0.8978,16.6631,-185.5423,0.0000,80.0000,128.6860,132.6773,136.6685,77021393777.0775,94536561848.0000
2021-05-04,131.19,131.4899,126.7,127.85,127.85,137564718,0.0000,1.0,132.6673,131.2840,47.0956,20.8852,14.0768,2.0057,-0.7024,1.3033,17.2552,-173.8431,5.0000,85.0000,128.6294,132.6673,136.7051,77096588131.1098,94452560948.0000
2021-05-03,132.04,134.07,131.83,132.54,132.54,75135100,0.0000,1.0,132.5853,131.6455,54.6777,33.5614,19.3415,2.1813,-0.3540,1.8273,17.8784,10.7148,0.0000,90.0000,128.1159,132.5853,137.0546,77168097430.1240,94590125666.0000
2021-04-30,131.78,133.56,131.065,131.46,131.46,109839466,0.0000,1.0,132.2533,131.5514,53.0232,50.4789,29.2373,2.2698,-0.2778,1.9921,17.9785,-3.9195,0.0000,95.0000,126.9173,132.2533,137.5892,77195602243.5169,94514990566.0000
2021-04-29,136.47,137.07,132.45,133.48,133.48,151100953,0.0000,1.0,131.8303,131.5610,56.7010,66.0028,52.1053,2.3393,-0.0559,2.2834,18.1803,63.7734,0.0000,100.0000,125.1403,131.8303,138.5202,77270662880.6030,94624830032.0000
2021-04-28,134.31,135.02,133.08,133.58,133.58,107760097,0.0000,1.0,131.2638,131.3590,56.8866,67.2313,70.0942,2.3533,0.0630,2.4163,18.0343,56.0989,0.0000,70.0000,123.4108,131.2638,139.1167,77354389815.5987,94775930985.0000
2021-04-27,135.01,135.41,134.11,134.39,134.39,66015804,0.0000,1.0,130.5798,131.1252,58.3562,59.2589,75.8089,2.3375,0.2031,2.5406,18.2616,71.4769,5.0000,75.0000,121.3846,130.5798,139.7749,77406603470.8461,94883691082.0000
2021-04-26,134.83,135.06,133.56,134.72,134.72,66905069,0.0000,1.0,129.9298,130.7815,58.9456,45.6209,55.7909,2.2867,0.2930,2.5798,18.2272,72.6503,10.0000,80.0000,120.0886,129.9298,139.7709,77444181697.7384,94949706886.0000
2021-04-23,132.16,135.12,132.16,134.32,134.32,78756779,0.0000,1.0,129.2543,130.3670,58.4626,46.2509,46.1768,2.2135,0.3452,2.5587,18.2550,68.6270,15.0000,85.0000,118.9761,129.2543,139.5324,77407606926.6851,94882801817.0000
2021-04-22,133.04,134.15,131.41,131.94,131.94,84566456,0.0000,1.0,128.5678,129.9508,55.5029,53.2823,34.8949,2.1272,0.4082,2.5354,18.2843,55.6514,20.0000,90.0000,117.9077,128.5678,139.2278,77371421379.5770,94804045038.0000
2021-04-21,132.36,133.75,131.3001,133.5,133.5,68847136,0.0000,1.0,127.9753,129.7415,58.0798,70.0087,57.6810,2.0251,0.6859,2.7110,18.4836,65.9693,25.0000,95.0000,116.8248,127.9753,139.1257,77423272345.2996,94888611494.0000
2021-04-20,135.02,135.53,131.81,133.11,133.11,94812349,0.0000,1.0,127.4273,129.3458,57.6124,75.8820,67.2709,1.8537,0.8832,2.7369,18.7632,81.6736,30.0000,100.0000,116.3396,127.4273,138.5149,77368476218.7286,94819764358.0000
2021-04-19,133.51,135.47,133.34,134.84,134.84,94264215,0.0000,1.0,126.9413,128.9496,60.4529,80.4261,85.0742,1.6329,1.1369,2.7698,18.9436,106.3476,35.0000,100.0000,116.0421,126.9413,137.8404,77397021872.1909,94914576707.0000
2021-04-16,134.3,134.67,133.28,134.16,134.16,84922386,0.0000,1.0,126.1988,128.3296,59.7111,77.5087,75.3010,1.3486,1.2468,2.5954,18.7839,113.2876,40.0000,95.0000,115.5323,126.1988,136.8652,77358519587.1909,94820312492.0000
2021-04-15,133.82,135.0,133.64,134.5,134.5,89347102,0.0000,1.0,125.5173,127.7158,60.2479,82.8914,80.9030,1.0369,1.3674,2.4043,18.7367,135.5503,45.0000,100.0000,115.2379,125.5173,135.7966,77335914347.7521,94905234878.0000
2021-04-14,134.94,135.0,131.655,132.03,132.03,87222782,0.0000,1.0,125.0303,127.0017,57.6187,86.6331,76.3220,0.6951,1.3957,2.0908,18.6066,137.2389,50.0000,100.0000,115.6125,125.0303,134.4480,77312263644.2815,94815887776.0000
2021-04-13,132.44,134.66,131.93,134.43,134.43,91266545,0.0000,1.0,124.7073,126.4724,61.3651,94.4006,91.4493,0.3462,1.5656,1.9117,18.4698,175.9343,55.0000,100.0000,115.8453,124.7073,133.5692,77379929748.7030,94903110558.0000
2021-04-12,132.52,132.85,130.63,131.24,131.24,91419983,0.0000,1.0,124.1853,125.6348,57.9093,95.9398,92.1280,-0.0452,1.4562,1.4110,18.3713,170.6200,60.0000,95.0000,116.5275,124.1853,131.8430,77304041449.3807,94811844013.0000
2021-04-09,129.8,133.04,129.47,132.995,132.995,106686703,0.0000,1.0,123.6748,125.0447,60.7494,96.8990,99.6245,-0.4093,1.4855,1.0762,18.5144,215.8683,65.0000,100.0000,116.6295,123.6748,130.7200,77345221621.9032,94903263996.0000
2021-04-08,128.95,130.39,128.52,130.36,130.36,88844591,0.0000,1.0,123.1230,124.2079,57.7972,92.9277,96.0668,-0.7807,1.2351,0.4544,18.6650,218.9826,70.0000,100.0000,117.4987,123.1230,128.7473,77241224499.6511,94796577293.0000
2021-04-07,125.83,127.92,125.14,127.9,127.9,83466716,0.0000,1.0,122.6040,123.5603,54.7807,88.1118,95.0057,-1.0894,1.0120,-0.0774,19.1979,171.5760,0.0000,100.0000,117.9076,122.6040,127.3004,77155230537.2393,94707732702.0000
2021-04-06,126.5,127.13,125.65,126.21,126.21,80171253,0.0000,1.0,122.2633,123.1035,52.5681,75.7947,87.7107,-1.3424,0.8378,-0.5047,20.1473,177.7036,0.0000,30.0000,118.2081,122.2633,126.3184,77072964781.1818,94624265986.0000
2021-04-05,123.87,126.1601,123.07,125.9,125.9,88651175,0.0000,1.0,121.7708,122.7765,52.1602,62.4214,81.6191,-1.5519,0.6813,-0.8706,21.1379,144.0255,5.0000,35.0000,117.3744,121.7708,126.1671,77092465896.7764,94544094733.0000
2021-04-01,123.66,124.18,122.49,123.0,123.0,75089134,0.0000,1.0,121.5468,122.4477,48.2013,48.0168,58.0543,-1.7222,0.4289,-1.2934,22.0197,81.4271,10.0000,40.0000,117.5791,121.5468,125.5144,77018738621.0790,94455443558.0000
2021-03-31,121.65,123.52,121.15,122.15,122.15,118323826,0.0000,1.0,121.4033,122.3895,46.9796,41.9784,47.5907,-1.8294,0.3105,-1.5189,22.6060,43.5572,15.0000,45.0000,117.4487,121.4033,125.3578,77048507686.0376,94380354424.0000
2021-03-30,120.11,120.4031,118.86,119.9,119.9,85671919,0.0000,1.0,121.3988,122.4148,43.6366,35.2792,38.4054,-1.9071,0.2089,-1.6982,23.1058,-85.4538,20.0000,0.0000,117.4474,121.3988,125.3501,77066980182.0797,94262030598.0000
2021-03-29,121.65,122.58,120.7299,121.39,121.39,80819203,0.0000,1.0,121.6598,122.6795,45.4390,32.0060,39.9391,-1.9593,0.2861,-1.6732,23.0421,-9.6776,25.0000,5.0000,117.4572,121.6598,125.8623,77037171839.5802,94347702517.0000
2021-03-26,120.35,121.48,118.92,121.21,121.21,94071234,0.0000,1.0,121.9798,122.8152,45.1791,30.3209,27.4932,-2.0308,0.2622,-1.7686,23.2134,-55.0770,30.0000,10.0000,117.0045,121.9798,126.9550,77060319829.2400,94266883314.0000
