,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2021-05-06,77.63,78.0599,76.47,77.89,77.89,38504241,0.0000,1.0,81.1050,80.7231,44.2652,8.9835,13.7070,0.0204,-0.5220,-0.5016,12.2881,-121.9156,100.0000,70.0000,85.9542,81.1050,76.2558,95999877.9600,4688341342.0000
2021-05-05,79.05,79.3,77.36,77.83,77.83,42310154,0.0000,1.0,81.3780,81.0213,44.1598,9.5501,7.7827,0.1509,-0.4393,-0.2885,12.3927,-115.8074,95.0000,75.0000,86.0852,81.3780,76.6708,65724922.5074,4649837101.0000
2021-05-04,77.95,78.67,77.04,78.61,78.61,59194328,0.0000,1.0,81.5965,81.3572,45.2154,17.6848,5.4608,0.2607,-0.2668,-0.0061,12.6574,-136.0785,100.0000,80.0000,86.0219,81.5965,77.1711,87534280.2393,4692147255.0000
2021-05-03,81.97,82.0,78.46,78.55,78.55,66323268,0.0000,1.0,81.7380,81.6464,45.1196,34.8938,15.4067,0.3274,-0.0525,0.2749,12.8088,-94.1193,35.0000,85.0000,85.9481,81.7380,77.5279,32697816.8774,4632952927.0000
2021-04-30,82.97,84.1,81.415,81.62,81.62,46601858,0.0000,1.0,81.8820,81.9723,49.3143,54.4120,32.1868,0.3406,0.2952,0.6357,13.2087,16.2292,40.0000,90.0000,85.8353,81.8820,77.9287,95648715.3181,4699276195.0000
2021-04-29,84.7,85.27,82.63,83.91,83.91,51294528,0.0000,1.0,81.8555,82.0094,52.7922,72.5089,57.0878,0.2668,0.5076,0.7744,13.6232,85.9728,0.0000,95.0000,85.8225,81.8555,77.8885,135134460.9233,4745878053.0000
2021-04-28,88.85,89.2,83.92,84.02,84.02,108920306,0.0000,1.0,81.5850,81.8093,52.9627,74.9155,73.9613,0.1399,0.5672,0.7070,13.8078,167.8774,0.0000,100.0000,85.6901,81.5850,77.4799,136688840.5596,4797172581.0000
2021-04-27,85.67,87.15,85.13,85.21,85.21,61909865,0.0000,1.0,81.1840,81.5766,54.7804,67.6549,86.4775,-0.0019,0.6014,0.5995,13.7238,183.1259,5.0000,100.0000,85.7950,81.1840,76.5730,241483377.3930,4906092887.0000
2021-04-26,83.35,85.9,82.7,85.41,85.41,57594535,0.0000,1.0,80.7805,81.1942,55.0823,48.8298,64.3076,-0.1523,0.4847,0.3324,13.9833,158.0003,10.0000,100.0000,85.3236,80.7805,76.2374,298489490.7098,4968002752.0000
2021-04-23,80.21,83.3,79.96,82.76,82.76,49267281,0.0000,1.0,80.3805,80.7504,51.7347,42.0566,52.1795,-0.2735,0.2398,-0.0337,14.4842,66.5943,15.0000,70.0000,84.6214,80.3805,76.1396,258533282.0535,4910408217.0000
2021-04-22,81.61,81.79,78.59,79.06,79.06,38846050,0.0000,1.0,80.0535,80.5388,46.4400,40.7806,30.0022,-0.3334,0.1027,-0.2307,14.9618,-6.6365,20.0000,75.0000,84.5130,80.0535,75.5940,225196738.6224,4861140936.0000
2021-04-21,78.99,81.66,78.86,81.61,81.61,35068955,0.0000,1.0,79.9245,80.6945,50.0336,53.8056,43.9882,-0.3591,0.2570,-0.1020,15.1289,28.3800,25.0000,80.0000,84.6337,79.9245,75.2153,252631761.4349,4899986986.0000
2021-04-20,80.82,81.11,78.51,79.27,79.27,34977750,0.0000,1.0,79.7630,80.5981,46.4191,57.4708,48.3513,-0.4233,0.2273,-0.1960,15.3530,-4.9080,30.0000,85.0000,84.4514,79.7630,75.0746,218815269.1135,4864918031.0000
2021-04-19,82.13,83.18,80.39,81.11,81.11,39115461,0.0000,1.0,79.8145,80.7380,49.0708,56.0621,69.0773,-0.4802,0.4054,-0.0748,15.4693,58.3992,35.0000,90.0000,84.5028,79.8145,75.1262,233344488.3442,4899895781.0000
2021-04-16,83.3,83.59,81.53,82.15,82.15,47280570,0.0000,1.0,79.7120,80.6988,50.6235,39.4311,54.9837,-0.5815,0.4751,-0.1064,15.9178,93.4201,40.0000,95.0000,84.3720,79.7120,75.0520,252271324.3120,4939011242.0000
