,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Signal,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-03,3484.73,3486.645,3372.7012,3386.49,3386.49,5875530,0.0000,1.0,3369.7210,3354.4491,56.6491,49.2820,67.4428,65.3330,64.6104,0.7226,20.3718,57.5512,0.0000,95.0000,3369.7210,3246.9246,3492.5174,1809938893.0934,1310624239.0000
2021-04-30,3525.12,3554.0,3462.5,3467.42,3467.42,7009346,0.0000,1.0,3361.7330,3351.0764,63.4261,74.5290,77.8135,71.3643,64.4298,6.9345,20.3889,158.9459,0.0000,100.0000,3361.7330,3224.4130,3499.0530,1814392379.8043,1316499769.0000
2021-04-29,3505.0981,3514.445,3435.0,3471.31,3471.31,7682381,0.0000,1.0,3346.4120,3338.8297,63.7745,78.5174,73.7655,69.7842,62.6961,7.0881,19.4881,145.6858,0.0000,100.0000,3346.4120,3192.3255,3500.4985,1820647933.8410,1323509115.0000
2021-04-28,3434.8,3489.88,3425.0,3458.5,3458.5,4631884,0.0000,1.0,3327.5505,3324.8844,63.1411,80.3940,60.8873,66.3564,60.9241,5.4322,18.7530,124.9388,0.0000,100.0000,3327.5505,3148.8496,3506.2514,1821307915.5935,1315826734.0000
2021-04-27,3443.47,3460.0,3398.01,3417.43,3417.43,3827140,0.0000,1.0,3307.3900,3310.8196,61.0679,62.3850,42.8696,62.3203,59.5661,2.7542,18.1185,95.4845,0.0000,100.0000,3307.3900,3103.1749,3511.6051,1821156565.4998,1311194850.0000
2021-04-26,3348.0,3428.45,3330.94,3409.0,3409.0,4880708,0.0000,1.0,3290.3050,3299.5975,60.6362,39.8828,29.3286,60.4439,58.8775,1.5664,17.6259,71.5822,0.0000,75.0000,3290.3050,3069.2897,3511.3203,1822585800.7151,1307367710.0000
2021-04-23,3319.1,3375.0,3308.5,3340.88,3340.88,3196652,0.0000,1.0,3272.4565,3288.0814,56.9733,26.3408,27.3116,58.0282,58.4859,-0.4577,17.3009,45.0551,5.0000,80.0000,3272.4565,3035.5794,3509.3336,1819652170.3605,1302487002.0000
2021-04-22,3371.68,3372.87,3301.45,3309.04,3309.04,2580590,0.0000,1.0,3257.7255,3282.5237,55.1188,21.7622,32.6112,61.0366,58.6003,2.4363,17.3155,41.5009,10.0000,85.0000,3257.7255,3003.6795,3511.7715,1819735812.0820,1299290350.0000
2021-04-21,3316.0,3362.86,3303.8061,3362.02,3362.02,2211166,0.0000,1.0,3246.6270,3279.7325,59.1486,33.8318,44.7085,67.2306,57.9912,9.2393,17.3456,54.2662,15.0000,90.0000,3246.6270,2983.2932,3509.9608,1821767909.2761,1301870940.0000
2021-04-20,3373.6,3382.99,3316.0,3334.69,3334.69,2623032,0.0000,1.0,3235.4010,3271.0707,57.6306,42.2398,51.5564,68.7641,55.6814,13.0827,17.4443,60.6182,20.0000,95.0000,3235.4010,2973.5628,3497.2392,1819619647.8239,1299659774.0000
2021-04-19,3390.33,3435.9333,3360.16,3372.01,3372.01,2725405,0.0000,1.0,3224.2100,3264.3739,60.5494,58.0538,57.3081,72.5039,52.4107,20.0932,17.4386,91.7166,25.0000,100.0000,3224.2100,2961.1735,3487.2465,1820779044.4133,1302282806.0000
2021-04-16,3380.0,3406.8,3355.59,3399.44,3399.44,3186049,0.0000,1.0,3209.3575,3253.0438,62.7692,54.3755,60.9198,72.4228,47.3874,25.0354,17.0233,100.9882,30.0000,85.0000,3209.3575,2947.8389,3470.8761,1822652010.6453,1305008211.0000
2021-04-15,3371.0,3396.9999,3352.0,3379.09,3379.09,3233580,0.0000,1.0,3190.7850,3237.6337,61.7817,59.4949,73.4445,68.4730,41.1286,27.3444,16.7562,106.8085,35.0000,90.0000,3190.7850,2933.1714,3448.3986,1820381771.8636,1301822162.0000
2021-04-14,3404.04,3404.13,3326.0,3333.0,3333.0,3145204,0.0000,1.0,3178.6170,3222.7435,59.4686,68.8889,84.6293,64.5077,34.2925,30.2152,16.5324,109.6942,40.0000,95.0000,3178.6170,2935.1278,3422.1062,1819722112.8919,1298588582.0000
2021-04-13,3400.845,3432.0,3395.63,3400.0,3400.0,3315837,0.0000,1.0,3166.5600,3211.1376,64.8925,91.9497,92.5434,63.2009,26.7387,36.4622,16.2969,165.0289,45.0000,100.0000,3166.5600,2931.0944,3402.0256,1822303732.4046,1301733786.0000
2021-04-12,3355.21,3395.04,3351.15,3379.39,3379.39,3281798,0.0000,1.0,3150.6440,3191.2573,63.9312,93.0492,91.5469,53.7919,17.6231,36.1688,15.4200,179.3522,50.0000,100.0000,3150.6440,2938.5760,3362.7120,1824822747.4255,1298417949.0000
2021-04-09,3304.7,3372.2,3288.9,3372.2,3372.2,4341473,0.0000,1.0,3136.1490,3171.4539,63.6008,92.6312,91.0301,43.0987,8.5809,34.5178,14.6819,195.8555,55.0000,100.0000,3136.1490,2950.6350,3321.6630,1823881352.1915,1295136151.0000
2021-04-08,3310.9,3324.5,3292.0,3299.3,3299.3,2812090,0.0000,1.0,3123.2185,3150.3227,60.0793,88.9605,91.6727,29.5554,-0.0485,29.6039,14.0228,210.0842,60.0000,100.0000,3123.2185,2972.5387,3273.8983,1819539879.1915,1290794678.0000
2021-04-07,3233.8,3303.6125,3223.65,3279.39,3279.39,3346227,0.0000,1.0,3111.1355,3134.6409,59.0514,91.4987,92.4877,19.2620,-7.4495,26.7115,13.5866,224.7323,65.0000,100.0000,3111.1355,2981.5995,3240.6715,1821088691.8376,1287982588.0000
2021-04-06,3223.75,3247.31,3217.04,3223.82,3223.82,2537809,0.0000,1.0,3100.3085,3119.4041,56.0509,94.5590,85.8487,7.8708,-14.1273,21.9981,13.2450,223.2909,0.0000,100.0000,3100.3085,2994.8805,3205.7365,1819769764.7221,1284636361.0000
2021-04-05,3173.0,3235.955,3161.24,3226.73,3226.73,3334882,0.0000,1.0,3086.7150,3108.4130,56.2559,91.4052,71.9375,-1.1250,-19.6269,18.5019,13.2200,224.0782,0.0000,100.0000,3086.7150,2978.4239,3195.0061,1821170715.7756,1287174170.0000
2021-04-01,3117.94,3162.44,3115.55,3161.0,3161.0,2940318,0.0000,1.0,3075.4015,3095.9586,52.5291,71.5818,53.5884,-12.8868,-24.2523,11.3655,13.2639,140.9505,5.0000,65.0000,3075.4015,2981.6885,3169.1145,1818659344.0868,1283839288.0000
2021-03-31,3064.06,3119.33,3062.5,3094.08,3094.08,3093896,0.0000,1.0,3066.2300,3089.1121,48.2661,52.8254,39.8285,-21.0192,-27.0937,6.0746,13.7952,51.4422,10.0000,70.0000,3066.2300,2971.9196,3160.5404,1815899621.4342,1280898970.0000
2021-03-30,3070.01,3073.0,3034.0,3055.29,3055.29,2337603,0.0000,1.0,3061.7760,3088.5892,45.5748,36.3578,32.2907,-24.2796,-28.6124,4.3327,14.3709,-18.7208,15.0000,75.0000,3061.7760,2964.7719,3158.7801,1815555008.3482,1277805074.0000
2021-03-29,3055.4394,3091.25,3028.445,3075.73,3075.73,2745968,0.0000,1.0,3063.7380,3092.0943,46.7934,30.3022,35.0163,-24.1385,-29.6956,5.5571,14.6097,-2.6091,20.0000,80.0000,3063.7380,2965.7556,3161.7204,1815340428.3805,1280142677.0000
2021-03-26,3044.06,3056.66,2996.0,3052.03,3052.03,3312924,0.0000,1.0,3067.2585,3093.8169,45.1787,30.2121,44.4638,-25.6884,-31.0848,5.3964,14.8610,-60.1421,25.0000,85.0000,3067.2585,2962.9502,3171.5668,1813951595.1105,1277396709.0000
2021-03-25,3072.99,3109.78,3037.14,3046.26,3046.26,3563469,0.0000,1.0,3069.3035,3098.2155,44.7912,44.5345,53.3519,-24.8799,-32.4339,7.5541,14.8486,-13.9637,30.0000,90.0000,3069.3035,2964.6664,3173.9406,1811144402.6674,1274083785.0000
2021-03-24,3151.04,3160.31,3085.15,3087.07,3087.07,2958981,0.0000,1.0,3069.8485,3103.6845,47.0246,58.6447,49.5691,-22.8985,-34.3224,11.4239,15.0912,64.5905,35.0000,95.0000,3069.8485,2965.5843,3174.1127,1813813079.8921,1277647254.0000
2021-03-23,3127.0,3182.0,3120.8501,3137.5,3137.5,3817263,0.0000,1.0,3073.4715,3105.4334,49.9484,56.8764,42.5580,-24.1918,-37.1784,12.9866,15.6667,117.9275,40.0000,0.0000,3073.4715,2962.2611,3184.6819,1816620883.5765,1280606235.0000
2021-03-22,3067.85,3126.58,3060.05,3110.87,3110.87,2902179,0.0000,1.0,3076.3215,3102.0580,48.3370,33.1861,38.7437,-30.6252,-40.4251,9.7998,16.4565,36.5949,45.0000,0.0000,3076.3215,2956.1345,3196.5085,1818359417.1845,1276788972.0000
2021-03-19,3029.23,3077.285,3016.63,3074.96,3074.96,4625354,0.0000,1.0,3079.8150,3101.1304,46.1146,37.6115,49.3167,-35.6798,-42.8750,7.1953,16.9389,-36.9151,50.0000,0.0000,3079.8150,2951.9947,3207.6353,1816827844.8909,1273886793.0000
2021-03-18,3101.0,3116.63,3025.0,3027.99,3027.99,3657027,0.0000,1.0,3088.5620,3103.8852,43.0716,45.4334,58.7524,-37.9559,-44.6739,6.7179,17.0368,-44.5971,55.0000,0.0000,3088.5620,2940.8696,3236.2544,1812557084.8420,1269261439.0000
2021-03-17,3073.22,3173.05,3070.22,3135.73,3135.73,3118584,0.0000,1.0,3103.5740,3111.8742,49.1156,64.9051,69.1351,-35.5267,-46.3533,10.8267,17.1929,22.0142,60.0000,5.0000,3103.5740,2925.6247,3281.5233,1815975445.2321,1272918466.0000
2021-03-16,3104.97,3128.91,3075.8601,3091.86,3091.86,2538764,0.0000,1.0,3112.2195,3109.3630,46.1950,65.9186,74.6477,-42.8792,-49.0600,6.1808,17.6498,-13.6353,65.0000,10.0000,3112.2195,2913.2959,3311.1431,1815120511.0402,1269799882.0000
2021-03-15,3074.57,3082.24,3032.09,3081.68,3081.68,2918592,0.0000,1.0,3121.0740,3111.2054,45.5055,76.5815,80.2253,-47.1732,-50.6052,3.4321,17.7662,-46.4917,70.0000,15.0000,3121.0740,2911.1050,3331.0430,1816127887.7944,1267261118.0000
2021-03-12,3075.0,3098.98,3045.5,3089.49,3089.49,2421888,0.0000,1.0,3130.8755,3114.3134,45.9345,81.4430,74.7339,-50.9312,-51.4632,0.5320,17.4723,-41.5951,75.0000,20.0000,3130.8755,2911.1045,3350.6465,1813274476.7125,1270179710.0000
2021-03-11,3104.01,3131.7843,3082.93,3113.59,3113.59,2776391,0.0000,1.0,3139.5075,3116.9264,47.2402,82.6512,63.9847,-55.7822,-51.5962,-4.1860,17.2399,-23.5564,80.0000,25.0000,3139.5075,2913.4450,3365.5700,1811712114.4088,1272601598.0000
2021-03-10,3098.45,3116.46,3030.05,3057.64,3057.64,3012489,0.0000,1.0,3148.1570,3117.2776,43.7115,60.1073,45.5603,-63.6163,-50.5497,-13.0666,17.2142,-56.3218,85.0000,30.0000,3148.1570,2913.6432,3382.6708,1811003688.3892,1269825207.0000
2021-03-09,3017.99,3090.96,3005.1474,3062.85,3062.85,4030032,0.0000,1.0,3160.5250,3123.5552,43.9717,49.1955,32.4664,-66.9934,-47.2831,-19.7104,17.0560,-72.0413,90.0000,0.0000,3160.5250,2920.3873,3400.6627,1812092451.6281,1272837696.0000
2021-03-08,3015.0,3064.59,2951.31,2951.95,2951.95,4185008,0.0000,1.0,3173.5295,3129.9452,36.3057,27.3780,22.8508,-70.8599,-42.3555,-28.5044,16.6708,-119.4952,95.0000,0.0000,3173.5295,2927.8523,3419.2067,1810702689.2277,1268807664.0000
2021-03-05,3005.0,3009.0,2881.0001,3000.46,3000.46,5388551,0.0000,1.0,3193.5395,3148.6816,38.4944,20.8258,26.1070,-63.4726,-35.2294,-28.2432,16.0350,-151.2621,100.0000,5.0000,3193.5395,2958.3433,3428.7357,1814840409.0017,1272992672.0000
