,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2021-05-06,227.11,228.44,222.88,226.42,226.42,12206510,0.0000,1.0,233.2015,231.5429,43.6014,12.5658,18.3282,-1.6254,-0.6080,-1.0174,9.6304,-111.2762,15.0000,5.0000,243.9964,233.2015,222.4066,617202827.6990,822197396.0000
2021-05-05,228.0,228.91,226.73,226.78,226.78,7243206,0.0000,1.0,233.2925,232.0821,43.8553,12.0836,10.6019,-1.3320,-0.4666,-0.8654,9.5872,-91.9536,20.0000,10.0000,243.8860,233.2925,222.6990,613865796.1882,834403906.0000
2021-05-04,230.25,231.48,225.45,227.9,227.9,13260487,0.0000,1.0,233.2245,232.6402,44.6233,22.4671,8.7673,-0.9747,-0.2260,-0.7488,9.8514,-77.8376,25.0000,15.0000,244.0002,233.2245,222.4488,620776745.0322,841647112.0000
2021-05-03,231.27,236.1699,230.4052,230.71,230.71,13620874,0.0000,1.0,233.3580,233.1392,46.5669,42.9786,16.8817,-0.6186,0.0737,-0.6923,10.1294,-17.4113,30.0000,20.0000,243.9308,233.3580,222.7852,623261711.9162,854907599.0000
2021-04-30,231.77,233.85,230.51,230.95,230.95,9326397,0.0000,1.0,233.0875,233.3949,46.7321,64.7094,41.7524,-0.4411,0.2696,-0.7107,10.4882,-20.0138,35.0000,25.0000,244.1814,233.0875,221.9936,635442218.7174,868528473.0000
2021-04-29,237.79,238.05,232.6,234.18,234.18,9552775,0.0000,1.0,232.7580,233.6523,48.9518,74.8827,70.3017,-0.2327,0.5454,-0.7781,11.0205,26.5381,40.0000,30.0000,244.4610,232.7580,221.0550,642311361.4180,877854870.0000
2021-04-28,237.57,239.22,236.33,236.72,236.72,9187713,0.0000,1.0,232.3855,233.5967,50.7528,67.7654,82.0742,-0.2921,0.6223,-0.9144,11.4433,62.9617,45.0000,35.0000,244.3550,232.3855,220.4160,646325279.7208,887407645.0000
2021-04-27,233.44,236.93,232.08,235.92,235.92,11646347,0.0000,1.0,232.0120,233.2680,50.2046,50.4848,72.2721,-0.6223,0.4477,-1.0700,11.5596,37.8541,50.0000,40.0000,243.8830,232.0120,220.1410,653033263.9526,878219932.0000
2021-04-26,231.5,233.49,230.82,232.7,232.7,7792876,0.0000,1.0,231.8090,232.9888,47.9911,32.0316,48.9498,-0.9533,0.2287,-1.1820,11.8573,5.8525,55.0000,0.0000,243.5438,231.8090,220.0742,646237560.4454,866573585.0000
2021-04-23,230.65,233.0,230.51,232.08,232.08,8972039,0.0000,1.0,231.5370,233.0192,47.5647,20.7483,30.2327,-1.0340,0.2052,-1.2391,12.4441,3.7990,60.0000,5.0000,243.4277,231.5370,219.6463,643056199.0821,858780709.0000
