,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV
2021-05-03,51.21,51.4,50.81,51.17,51.17,13465912,0.0000,1.0,51.7238,51.3387,54.1898,34.9920,45.7584,-0.2679,0.5993,0.3315,19.5870,-123.5566,45.0000,95.0000,52.6753,50.7722,51.7238,-4135531187.3304,4622835310.0000
2021-04-30,51.22,51.23,50.41,50.91,50.91,19930545,0.0000,1.0,51.7858,51.3564,52.7803,26.9192,32.3651,-0.2803,0.6663,0.3860,20.5698,-191.0424,50.0000,100.0000,52.7464,50.8251,51.7858,-4138498252.6863,4609369398.0000
2021-04-29,51.18,51.6,50.98,51.46,51.46,13916580,0.0000,1.0,51.8210,51.4034,56.2590,26.1329,26.8524,-0.2599,0.7364,0.4765,21.5742,-102.9492,55.0000,95.0000,52.6987,50.9433,51.8210,-4142873250.3692,4629299943.0000
2021-04-28,51.56,51.77,50.92,51.11,51.11,14984035,0.0000,1.0,51.8154,51.3975,54.4438,25.6774,21.5401,-0.2724,0.8013,0.5290,22.3545,-122.1990,60.0000,0.0000,52.7037,50.9271,51.8154,-4150504923.2725,4615383363.0000
2021-04-27,51.58,51.67,51.35,51.37,51.37,13600990,0.0000,1.0,51.8303,51.4277,56.0863,27.2426,30.0061,-0.2455,0.8694,0.6240,23.1759,-81.0011,65.0000,5.0000,52.6799,50.9806,51.8303,-4142219633.3313,4630367398.0000
2021-04-26,51.65,51.7685,51.5,51.64,51.64,13778194,0.0000,1.0,51.8694,51.4338,57.8069,24.9593,25.4861,-0.2211,0.9308,0.7097,23.7015,-48.5254,70.0000,0.0000,52.7025,51.0362,51.8694,-4130318767.0813,4643968388.0000
2021-04-23,51.5035,52.13,51.1773,51.91,51.91,14017740,0.0000,1.0,51.8974,51.4121,59.5421,32.7556,26.2355,-0.2048,0.9861,0.7812,24.1332,-25.0936,75.0000,0.0000,52.7356,51.0592,51.8974,-4130908894.5710,4657746582.0000
2021-04-22,51.81,52.0865,51.38,51.5,51.5,15564755,0.0000,1.0,51.8097,51.3597,57.7108,45.9059,23.1562,-0.2035,1.0373,0.8337,24.5877,-24.0727,80.0000,0.0000,52.9403,50.6791,51.8097,-4138452607.4901,4643728842.0000
2021-04-21,51.84,52.07,51.48,51.93,51.93,14015534,0.0000,1.0,51.6998,51.3449,60.4363,61.9889,48.8752,-0.1578,1.0882,0.9304,24.9109,20.2387,85.0000,5.0000,53.2710,50.1286,51.6998,-4128175242.7237,4659293597.0000
2021-04-20,52.59,52.79,51.595,51.79,51.79,21257481,0.0000,1.0,51.5863,51.2833,59.8498,62.6906,65.6863,-0.1313,1.1276,0.9964,25.1756,55.4676,90.0000,0.0000,53.3860,49.7865,51.5863,-4135539336.8593,4645278063.0000
2021-04-19,52.525,52.96,52.49,52.85,52.85,20245609,0.0000,1.0,51.4942,51.2300,66.9931,53.0833,71.4052,-0.0801,1.1604,1.0804,25.3697,129.7514,95.0000,0.0000,53.4265,49.5618,51.4942,-4121219443.8007,4666535544.0000
2021-04-16,52.45,53.18,52.26,52.8,52.8,28327910,0.0000,1.0,51.2835,51.0594,66.8156,37.8547,50.9804,-0.1165,1.1804,1.0640,24.8708,119.0743,100.0000,5.0000,53.4794,49.0876,51.2835,-4131988384.7581,4646289935.0000
