,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2021-05-03,56.17,58.85,56.12,58.15,58.15,12472619,0.0000,1.0,61.6050,60.4880,45.2214,36.2392,21.7172,-0.8021,-0.5621,0.2399,15.7318,-156.2303,50.0000,90.0000,61.6050,66.3158,56.8942,2053657181.3474,3046263177.0000
2021-04-30,55.73,56.89,55.655,55.79,55.79,10069308,0.0000,1.0,61.8820,60.7341,39.0005,48.8528,34.0379,-0.8628,-0.4224,0.4405,15.7366,-264.2053,55.0000,95.0000,61.8820,66.3949,57.3691,2047580777.2192,3033790558.0000
2021-04-29,57.29,57.34,54.95,56.07,56.07,31081972,0.0000,1.0,62.2480,61.2545,39.5062,49.8816,52.9624,-0.6537,0.0025,0.6562,15.0949,-367.6738,60.0000,100.0000,62.2480,65.8131,58.6829,2055448698.0451,3043859866.0000
2021-04-28,62.08,62.87,61.8201,62.32,62.32,7814148,0.0000,1.0,62.5065,61.8002,54.4874,37.6250,59.5582,-0.3034,0.5161,0.8196,14.4194,-13.5321,65.0000,0.0000,62.5065,64.7453,60.2677,2057399449.4259,3074941838.0000
2021-04-27,61.715,62.31,61.38,61.7,61.7,5577552,0.0000,1.0,62.4065,61.7455,52.8007,21.7640,37.1242,-0.3675,0.5279,0.8954,14.7281,-41.7328,70.0000,5.0000,62.4065,64.8399,59.9731,2057772331.4287,3067127690.0000
2021-04-26,61.0,61.61,60.77,61.58,61.58,4539307,0.0000,1.0,62.3140,61.7503,52.4768,13.9274,16.1927,-0.3889,0.5984,0.9873,15.2493,-64.1004,75.0000,0.0000,62.3140,64.9776,59.6504,2059511568.0739,3061550138.0000
2021-04-23,60.88,61.17,60.44,60.91,60.91,5073020,0.0000,1.0,62.2765,61.7682,50.6820,18.3555,11.9753,-0.3927,0.6919,1.0846,16.0508,-84.8333,80.0000,0.0000,62.2765,65.0008,59.5522,2055296497.2882,3057010831.0000
2021-04-22,61.85,61.9,60.53,60.74,60.74,6849102,0.0000,1.0,62.1355,61.8586,50.2289,32.7034,13.6142,-0.3134,0.8693,1.1827,16.7294,-53.8838,85.0000,5.0000,62.1355,65.3719,58.8991,2053837135.3704,3051937811.0000
2021-04-21,61.44,61.865,60.88,61.78,61.78,5091865,0.0000,1.0,61.9805,61.9763,53.0621,55.2287,29.4771,-0.1606,1.1005,1.2611,17.4749,-21.7163,90.0000,10.0000,61.9805,65.7262,58.2348,2058586512.6696,3058786913.0000
2021-04-20,63.63,63.8,61.205,61.79,61.79,5506306,0.0000,1.0,61.9070,61.9970,53.0895,71.0208,55.0189,-0.0276,1.2737,1.3012,18.3785,15.6554,95.0000,15.0000,61.9070,65.7226,58.0914,2054373446.7052,3063878778.0000
2021-04-19,64.63,65.11,63.6,63.79,63.79,5285783,0.0000,1.0,61.8320,62.0188,58.8542,77.4419,81.1901,0.1670,1.4751,1.3081,19.2524,99.8117,100.0000,20.0000,61.8320,65.7123,57.9517,2057397140.7514,3069385084.0000
2021-04-16,64.52,64.99,64.29,64.93,64.93,4650464,0.0000,1.0,61.6290,61.8323,62.5309,70.6219,76.8533,0.2408,1.5072,1.2664,19.2558,131.9102,100.0000,25.0000,61.6290,65.5031,57.7549,2061352726.7051,3074670867.0000
2021-04-15,63.33,64.535,63.03,64.36,64.36,4677553,0.0000,1.0,61.3275,61.5063,61.3851,65.4276,74.2822,0.2039,1.4101,1.2062,18.9511,112.2920,100.0000,0.0000,61.3275,65.0632,57.5918,2057499485.1051,3070020403.0000
2021-04-14,63.94,64.39,62.35,62.79,62.79,9522826,0.0000,1.0,61.0595,61.2059,58.0262,54.5014,60.7302,0.1685,1.3237,1.1552,18.7557,90.0241,100.0000,5.0000,61.0595,64.6528,57.4662,2053909735.1283,3065342850.0000
