,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-03,326.17,328.55,321.84,322.58,322.58,18719462,0.0000,1.0,308.8920,307.3188,63.7120,80.4590,81.3323,7.7493,1.1601,6.5892,28.8366,158.7491,90.0000,65.0000,308.8920,292.1626,325.6214,1571848616.7615,5402397982.0000
2021-04-30,326.1435,329.82,324.5,325.08,325.08,26332423,0.0000,1.0,308.2085,305.7123,65.4760,81.9234,79.3128,7.2862,0.9870,6.2992,28.1586,221.7271,95.0000,70.0000,308.2085,292.6994,323.7176,1586439195.9359,5421117444.0000
2021-04-29,330.12,331.81,321.61,329.51,329.51,56526771,0.0000,1.0,306.8875,303.6736,68.6769,81.6146,73.3968,6.3344,0.2820,6.0525,27.1576,294.3020,100.0000,0.0000,306.8875,292.9283,320.8467,1607029962.7931,5447449867.0000
2021-04-28,307.36,310.92,305.37,307.1,307.1,33907210,0.0000,1.0,305.1385,300.9540,59.0582,74.4003,59.4245,4.5765,-1.4055,5.9820,26.1038,41.5319,30.0000,0.0000,305.1385,294.6120,315.6650,1575995657.1460,5390923096.0000
2021-04-27,304.28,305.34,301.11,303.57,303.57,15309256,0.0000,1.0,304.1835,300.3071,57.0862,64.1755,43.5486,4.5479,-1.7854,6.3333,26.0390,-11.1750,35.0000,0.0000,304.1835,291.3330,317.0340,1588764318.2091,5357015886.0000
2021-04-26,303.3396,305.8,301.56,303.04,303.04,16172593,0.0000,1.0,303.5460,299.9636,56.7894,39.6976,30.9054,4.8047,-1.9750,6.7797,26.3738,-0.0958,40.0000,0.0000,303.5460,289.4339,317.6581,1586267063.6842,5341706630.0000
2021-04-23,298.76,302.59,297.15,301.13,301.13,17559498,0.0000,1.0,302.5450,299.6398,55.7412,26.7727,27.3543,5.1165,-2.1569,7.2734,26.6750,-20.5931,45.0000,0.0000,302.5450,285.8311,319.2589,1591149355.9107,5325534037.0000
2021-04-22,301.33,302.92,296.04,296.52,296.52,16375350,0.0000,1.0,301.4255,299.4829,53.1345,26.2458,28.2175,5.6346,-2.1781,7.8127,27.2358,-25.1181,50.0000,5.0000,301.4255,281.7461,321.1049,1583015176.6901,5307974539.0000
2021-04-21,301.945,301.98,297.39,301.47,301.47,14863474,0.0000,1.0,300.7065,299.7948,56.5308,29.0445,29.6810,6.6832,-1.6740,8.3572,27.8261,-3.8230,55.0000,10.0000,300.7065,279.3808,322.0322,1597105594.1319,5324349889.0000
2021-04-20,301.99,305.1,297.21,302.65,302.65,16796442,0.0000,1.0,300.1645,299.6185,57.3611,29.3622,29.5596,7.4204,-1.3552,8.7757,28.3092,9.1514,60.0000,15.0000,300.1645,278.3976,321.9314,1585545114.3541,5339213363.0000
2021-04-19,305.007,307.7,300.56,302.24,302.24,14553507,0.0000,1.0,299.7090,299.2994,57.1534,30.6364,30.1256,8.1333,-0.9811,9.1145,28.8176,24.8095,65.0000,20.0000,299.7090,277.7885,321.6295,1579179922.7724,5322416921.0000
2021-04-16,308.17,308.95,304.61,306.18,306.18,13059163,0.0000,1.0,299.1025,298.9898,59.8137,28.6801,31.7422,8.9667,-0.3931,9.3598,29.0190,49.7938,70.0000,25.0000,299.1025,276.8273,321.3777,1586884720.5959,5336970428.0000
2021-04-15,306.34,310.14,304.1,307.82,307.82,14558273,0.0000,1.0,297.7245,298.2330,60.9353,31.0604,41.9280,9.4988,0.0408,9.4580,28.8007,60.3575,75.0000,0.0000,297.7245,274.0079,321.4411,1590495549.0752,5350029591.0000
2021-04-14,307.3,308.03,301.95,302.82,302.82,17421393,0.0000,1.0,296.5340,297.2238,58.6918,35.4860,56.2232,9.8728,0.4249,9.4479,28.5709,47.8258,80.0000,0.0000,296.5340,272.5748,320.4932,1587121114.9361,5335471318.0000
2021-04-13,312.21,314.428,309.32,309.76,309.76,14036927,0.0000,1.0,295.3570,296.6348,63.5004,59.2375,73.0769,10.7156,1.3740,9.3416,28.4406,96.7968,85.0000,0.0000,295.3570,270.4544,320.2596,1599556780.3341,5352892711.0000
2021-04-12,311.05,312.15,307.93,311.54,311.54,10881935,0.0000,1.0,293.5565,295.2531,64.7939,73.9460,82.2192,10.9289,1.9308,8.9981,27.4917,107.0235,90.0000,0.0000,293.5565,267.8844,319.2286,1611175442.6983,5366929638.0000
2021-04-09,311.4,314.74,310.33,312.46,312.46,15988568,0.0000,1.0,291.3995,293.5387,65.4485,86.0473,87.3160,10.8609,2.3455,8.5154,26.5937,131.2172,95.0000,5.0000,291.3995,264.8979,317.9011,1603439469.9495,5377811573.0000
2021-04-08,314.85,315.88,310.05,313.02,313.02,20894148,0.0000,1.0,289.4705,291.5470,65.8331,86.6642,87.1947,10.5225,2.5935,7.9290,25.3658,153.7933,100.0000,0.0000,289.4705,263.7776,315.1634,1603983298.7930,5393800141.0000
2021-04-07,306.34,314.25,305.5,313.09,313.09,22855241,0.0000,1.0,287.0645,289.2867,65.8791,89.2366,87.9946,9.8805,2.5999,7.2807,24.0733,158.2999,100.0000,0.0000,287.0645,261.6323,312.4967,1603589069.5855,5414694289.0000
