,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD,MACD_Signal,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-03,2402.72,2419.7,2384.5,2395.17,2395.17,1689389,0.0000,1.0,2305.9280,2299.3563,68.2807,72.3718,73.3102,69.2687,63.5009,5.7677,32.6750,140.3127,0.0000,85.0000,2305.9280,2195.8213,2416.0347,129745081.4360,105623886.0000
2021-04-30,2404.49,2427.14,2402.16,2410.12,2410.12,1957130,0.0000,1.0,2297.4470,2289.2707,70.3858,70.7837,73.8565,69.3294,62.0590,7.2704,31.9760,187.0240,0.0000,90.0000,2297.4470,2190.0455,2404.8485,130410278.3547,107313275.0000
2021-04-29,2410.33,2436.52,2402.28,2429.89,2429.89,1977677,0.0000,1.0,2283.8285,2276.5497,73.2218,71.4382,69.9489,66.8763,60.2414,6.6348,30.8962,225.1773,0.0000,95.0000,2283.8285,2168.2655,2399.3915,131120110.1321,109270405.0000
2021-04-28,2407.145,2452.378,2374.85,2379.91,2379.91,2986439,0.0000,1.0,2265.7655,2260.4086,70.3529,68.8124,68.5459,60.7595,58.5827,2.1768,29.7572,198.3108,0.0000,100.0000,2265.7655,2135.2090,2396.3220,129908320.8956,107292728.0000
2021-04-27,2336.0,2337.45,2304.27,2307.12,2307.12,1598583,0.0000,1.0,2249.5470,2247.8295,65.1934,63.8879,75.8199,57.1574,58.0385,-0.8811,28.5583,82.8110,0.0000,95.0000,2249.5470,2100.4631,2398.6309,132504929.6061,104306289.0000
2021-04-26,2319.93,2341.26,2313.84,2326.74,2326.74,1041650,0.0000,1.0,2236.9885,2241.5884,68.2341,54.2421,62.0714,59.1398,58.2588,0.8810,28.1288,92.6938,0.0000,100.0000,2236.9885,2068.3819,2405.5951,133828891.6568,105904872.0000
2021-04-23,2283.47,2325.82,2278.21,2315.3,2315.3,1435162,0.0000,1.0,2222.4290,2232.6251,67.3917,55.6597,53.7725,58.8122,58.0385,0.7736,27.4818,75.0002,0.0000,100.0000,2222.4290,2037.8086,2407.0494,133890433.3417,104863222.0000
2021-04-22,2293.23,2303.7621,2256.45,2267.92,2267.92,1054808,0.0000,1.0,2208.8820,2223.9225,63.5927,63.0712,46.8822,58.7033,57.8451,0.8582,26.9366,54.3429,5.0000,85.0000,2208.8820,2014.0300,2403.7340,133089503.8239,103428060.0000
2021-04-21,2285.25,2295.32,2258.57,2293.29,2293.29,1196731,0.0000,1.0,2197.7390,2219.2912,67.5988,75.1407,66.3244,62.5347,57.6306,4.9041,26.5669,62.5251,10.0000,90.0000,2197.7390,1992.4561,2403.0219,133632871.9276,104482868.0000
2021-04-20,2307.89,2309.6,2271.71,2293.63,2293.63,1088749,0.0000,1.0,2185.7225,2211.5018,67.6531,75.7907,76.0069,63.9322,56.4045,7.5276,26.2585,73.3946,15.0000,95.0000,2185.7225,1976.1284,2395.3166,132568351.2095,105679599.0000
2021-04-19,2291.98,2318.45,2287.845,2302.4,2302.4,1234445,0.0000,1.0,2172.9705,2202.8568,69.0105,70.8576,83.0908,64.7513,54.5226,10.2287,25.6859,86.8944,20.0000,100.0000,2172.9705,1960.1795,2385.7615,132397381.1237,106768348.0000
2021-04-16,2303.0,2306.44,2284.45,2297.76,2297.76,1130090,0.0000,1.0,2160.0105,2192.3785,68.6948,60.0577,68.2745,63.9621,51.9654,11.9966,24.7708,91.1893,25.0000,95.0000,2160.0105,1948.7622,2371.2588,132457681.5738,105533903.0000
2021-04-15,2276.98,2306.5965,2266.0,2296.66,2296.66,1373612,0.0000,1.0,2146.9335,2181.2857,68.6228,61.4546,61.2076,62.4968,48.9663,13.5305,23.9022,97.7113,30.0000,100.0000,2146.9335,1939.0594,2354.8076,132219740.8416,104403813.0000
2021-04-14,2275.16,2277.99,2249.19,2254.84,2254.84,1010967,0.0000,1.0,2136.6545,2169.1411,65.7806,67.9015,50.6910,59.8295,45.5837,14.2459,22.9878,90.7688,35.0000,85.0000,2136.6545,1939.3493,2333.9597,131518546.1997,103030201.0000
2021-04-13,2261.47,2277.21,2256.09,2267.27,2267.27,1165804,0.0000,1.0,2128.5385,2160.1201,67.5073,82.6817,72.4652,59.8129,42.0222,17.7907,22.2503,109.2224,40.0000,90.0000,2128.5385,1938.1130,2318.9640,132132849.0643,104041168.0000
2021-04-12,2266.25,2275.32,2238.465,2254.79,2254.79,1565851,0.0000,1.0,2118.4995,2148.8412,66.6729,89.7186,80.5482,57.6561,37.5745,20.0816,21.3517,118.4464,45.0000,95.0000,2118.4995,1937.4485,2299.5505,132064402.2385,102875364.0000
2021-04-09,2256.7,2289.04,2253.7139,2285.88,2285.88,1044365,0.0000,1.0,2108.8560,2137.6887,70.9870,94.5742,95.0318,55.3352,32.5541,22.7811,20.4200,160.3058,50.0000,100.0000,2108.8560,1937.5881,2280.1239,132243059.2309,104441215.0000
2021-04-08,2277.96,2284.005,2257.68,2265.44,2265.44,1358259,0.0000,1.0,2100.3005,2122.0896,69.7651,94.4527,93.5758,48.4026,26.8588,21.5438,19.1817,194.9162,55.0000,100.0000,2100.3005,1949.3720,2251.2290,131385535.8806,103396850.0000
2021-04-07,2226.13,2255.0,2225.3303,2249.68,2249.68,1289861,0.0000,1.0,2089.7800,2107.0001,68.8027,92.2350,95.1148,40.9312,21.4729,19.4583,17.9111,218.7220,60.0000,100.0000,2089.7800,1958.2796,2221.2804,131943028.3210,102038591.0000
2021-04-06,2222.5,2237.66,2214.8,2224.75,2224.75,1353036,0.0000,1.0,2079.9310,2091.9811,67.2354,86.3610,94.6674,32.4042,16.6083,15.7959,16.7677,264.3081,65.0000,100.0000,2079.9310,1970.0869,2189.7751,131115730.8468,100748730.0000
