,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-06,145.26,148.515,145.18,148.42,148.42,7434774,0.0000,1.0,139.7840,140.8825,69.1352,73.1067,58.0143,0.4305,3.8247,3.3942,32.6021,109.1818,75.0000,15.0000,139.7840,129.4257,150.1423,412726169.4963,350626778.0000
2021-05-05,145.94,145.94,144.97,145.22,145.22,3622800,0.0000,1.0,139.1190,140.0891,65.7263,57.2650,46.0010,0.3141,3.6007,3.2866,31.6262,91.0349,80.0000,20.0000,139.1190,129.3742,148.8638,405714965.8291,343192004.0000
2021-05-04,144.41,146.59,144.33,145.75,145.75,6350479,0.0000,1.0,138.6045,139.5490,66.8887,43.6711,39.8360,0.3803,3.5884,3.2081,30.8562,103.4302,85.0000,25.0000,138.6045,129.1194,148.0896,407470343.1487,346814804.0000
2021-05-03,143.81,145.75,143.55,144.75,144.75,5733463,0.0000,1.0,138.0280,138.8962,65.8047,37.0670,43.1942,0.3535,3.4664,3.1130,30.0457,102.8990,90.0000,30.0000,138.0280,128.9577,147.0983,405840574.2018,340464325.0000
2021-04-30,143.7,143.83,140.55,141.88,141.88,8872181,0.0000,1.0,137.5870,138.2800,62.4534,38.7700,50.6307,0.3376,3.3622,3.0246,29.2784,74.0680,95.0000,35.0000,137.5870,129.0234,146.1506,405319350.2927,334730862.0000
2021-04-29,144.13,148.74,142.98,144.24,144.24,4353880,0.0000,1.0,137.1545,137.9011,67.6313,53.7457,60.2343,0.5323,3.4725,2.9402,28.6764,137.7137,100.0000,40.0000,137.1545,128.6282,145.6808,406996408.8963,343603043.0000
2021-04-28,142.92,143.4,142.1,143.0,143.0,3768129,0.0000,1.0,136.6055,137.2338,66.2339,59.3765,65.9992,0.5153,3.3224,2.8072,27.3560,117.8856,80.0000,45.0000,136.6055,128.5752,144.6358,409445466.3963,339249163.0000
2021-04-27,141.69,142.56,140.75,142.01,142.01,3884037,0.0000,1.0,136.1915,136.6269,65.0909,67.5806,74.0943,0.5305,3.2088,2.6783,26.5502,118.4780,85.0000,50.0000,136.1915,128.6860,143.6970,407996186.0117,335481034.0000
2021-04-26,142.42,143.63,141.48,141.57,141.57,4710763,0.0000,1.0,135.8840,136.0602,64.5847,71.0405,79.6315,0.5722,3.1179,2.5457,25.8144,153.0257,90.0000,55.0000,135.8840,128.8693,142.8987,406472613.4869,331596997.0000
2021-04-23,141.31,143.61,140.95,142.43,142.43,4556700,0.0000,1.0,135.6245,135.4802,66.3717,83.6618,84.2499,0.5987,3.0014,2.4027,24.8054,196.7191,95.0000,0.0000,135.6245,129.1038,142.1452,410788987.0264,336307760.0000
2021-04-22,143.7,144.74,141.0,141.28,141.28,7101368,0.0000,1.0,135.1565,134.7487,65.1466,84.1923,80.8714,0.4684,2.7214,2.2530,23.7456,252.6500,100.0000,5.0000,135.1565,129.3526,140.9604,410275073.4926,331751060.0000
2021-04-21,138.06,143.73,137.71,143.55,143.55,11909005,0.0000,1.0,134.6235,134.0612,69.9234,84.8956,72.6995,0.3057,2.4416,2.1359,22.6152,284.4256,100.0000,10.0000,134.6235,129.2230,140.0240,416313135.0541,338852428.0000
