,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2021-05-06,56.615,57.25,56.245,57.19,57.19,25297956,0.3475,1.0,60.8002,59.6870,40.2459,49.0776,37.3152,-0.4892,-1.3259,-1.8151,26.0684,-76.4135,90.0000,10.0000,67.9328,60.8002,53.6675,-1941784510.9710,2642563541.0000
2021-05-05,56.96,57.3,56.46,56.85,56.5066521834,21001931,0.0000,1.0,61.2729,59.9498,37.9800,34.9205,30.0547,-0.6310,-1.2036,-1.8346,26.2001,-91.8955,95.0000,15.0000,68.6354,61.2729,53.9104,-1964061815.5083,2617265585.0000
2021-05-04,56.88,56.98,55.81,56.9,56.5563502064,35323622,0.0000,1.0,61.7401,60.3122,38.0798,27.9474,25.6787,-0.7173,-1.0459,-1.7631,26.2070,-110.1290,100.0000,20.0000,69.0188,61.7401,54.4614,-1962561677.5831,2638267516.0000
2021-05-03,57.855,57.8768,56.84,57.26,56.9141759722,22281701,0.0000,1.0,62.1705,60.7076,38.7765,27.2961,21.9027,-0.7848,-0.8665,-1.6514,26.0744,-111.8812,100.0000,25.0000,69.1854,62.1705,55.1556,-1993054718.7993,2673591138.0000
2021-04-30,57.61,58.43,57.07,57.53,57.1825452965,30731840,0.0000,1.0,62.6317,61.1069,39.2887,21.7924,15.5284,-0.8508,-0.6703,-1.5211,26.1934,-123.5442,100.0000,30.0000,69.4126,62.6317,55.8507,-1988825321.8489,2695872839.0000
2021-04-29,57.88,58.3,57.47,58.28,57.928015642,23290618,0.0000,1.0,62.9806,61.5200,40.7076,16.6197,12.3929,-0.9025,-0.4576,-1.3601,26.3781,-137.3043,95.0000,35.0000,69.3069,62.9806,56.6542,-1978882667.7280,2726604679.0000
2021-04-28,57.52,58.16,57.15,57.62,57.272001738,30387352,0.0000,1.0,63.2648,61.8981,38.8617,8.1732,11.6142,-0.9787,-0.2320,-1.2107,26.6750,-176.6993,100.0000,40.0000,69.1533,63.2648,57.3764,-2001050846.3070,2703314061.0000
2021-04-27,58.555,58.63,57.77,57.97,57.6198878992,38167700,0.0000,1.0,63.5705,62.3851,39.4809,12.3858,16.8920,-0.9482,0.0126,-0.9356,26.9338,-205.6412,100.0000,45.0000,68.7782,63.5705,58.3628,-1998944792.2093,2733701413.0000
2021-04-26,59.1,59.52,58.46,58.76,58.405116663,39645910,0.0000,1.0,63.8950,62.8867,40.8776,14.2836,19.6249,-0.8559,0.2497,-0.6063,27.3577,-230.1248,95.0000,50.0000,68.3307,63.8950,59.4593,-1978529510.8124,2771869113.0000
2021-04-23,59.16,60.0,57.9,59.24,58.8822176841,77519832,0.0000,1.0,64.1987,63.3584,41.7297,24.0065,23.1569,-0.7207,0.4637,-0.2571,27.9767,-284.3175,100.0000,55.0000,67.8520,64.1987,60.5453,-1961324681.9393,2811515023.0000
2021-04-22,63.35,63.91,62.28,62.57,62.1921060178,38257616,0.0000,1.0,64.3368,63.8296,48.3755,20.5845,21.0889,-0.5000,0.6439,0.1438,28.6281,-99.3586,5.0000,60.0000,67.3237,64.3368,61.3499,-1982734921.2487,2889034855.0000
2021-04-21,62.79,63.775,62.3,63.7,63.3152813383,24364209,0.0000,1.0,64.3105,64.0019,50.9935,24.8796,22.2210,-0.4525,0.7689,0.3164,29.6161,-85.1072,10.0000,65.0000,67.3807,64.3105,61.2403,-1958090444.6853,2927292471.0000
2021-04-20,63.64,63.76,62.41,62.7,62.3213208777,19872123,0.0000,1.0,64.2996,64.0742,48.6575,17.8025,20.3316,-0.4643,0.8820,0.4177,30.6983,-109.7999,15.0000,70.0000,67.3854,64.2996,61.2137,-1979976937.5172,2902928262.0000
2021-04-19,64.7,64.74,63.07,63.63,63.245704106,23997675,0.0000,1.0,64.4452,64.2587,50.7968,23.9809,20.9513,-0.3560,0.9981,0.6421,31.7976,-67.1480,20.0000,75.0000,67.4166,64.4452,61.4737,-1968642467.3624,2922800385.0000
2021-04-16,65.33,65.52,64.57,64.75,64.3589398219,24625458,0.0000,1.0,64.4516,64.3654,53.4872,19.2113,18.4589,-0.2620,1.0871,0.8250,32.7165,5.0154,25.0000,80.0000,67.4131,64.4516,61.4901,-1960739041.4642,2946798060.0000
2021-04-15,63.97,65.215,63.6799,65.02,64.6273091462,24927676,0.0000,1.0,64.4007,64.3661,54.1440,19.6617,27.4108,-0.2194,1.1526,0.9332,33.0960,-12.6703,30.0000,85.0000,67.4016,64.4007,61.3998,-1945445335.9697,2971423518.0000
2021-04-14,65.31,65.38,63.84,64.19,63.8023219639,25768415,0.0000,1.0,64.4385,64.3386,52.4385,16.5038,43.9838,-0.1770,1.2074,1.0304,33.5708,-24.9248,35.0000,90.0000,67.4687,64.4385,61.4082,-1964040008.4914,2946495842.0000
2021-04-13,65.61,65.6346,64.21,65.22,64.8261012383,26821990,0.0000,1.0,64.4678,64.3950,54.8432,46.0669,68.9574,-0.0282,1.2517,1.2235,34.0074,8.3486,40.0000,95.0000,67.4842,64.4678,61.4514,-1949984509.4003,2972264257.0000
2021-04-12,68.2,68.49,64.71,65.405,65.0099839235,51266884,0.0000,1.0,64.3967,64.3496,55.2757,69.3807,80.8450,0.0891,1.2587,1.3478,34.3237,83.6912,45.0000,100.0000,67.4428,64.3967,61.3506,-1961194542.2829,2999086247.0000
2021-04-09,66.7976,68.4,66.63,68.26,67.8477410385,27177096,0.0000,1.0,64.2722,64.2801,62.5023,91.4247,85.0601,0.2318,1.2364,1.4683,34.4635,188.2804,50.0000,100.0000,67.4100,64.2722,61.1344,-1928779766.4204,3050353131.0000
2021-04-08,66.97,67.29,66.36,67.05,66.6450488812,22224223,0.0000,1.0,64.0262,63.9046,60.4188,81.7296,81.7431,0.1332,1.1785,1.3117,33.8006,174.2267,55.0000,50.0000,66.7480,64.0262,61.3044,-1951657660.7957,3023176035.0000
2021-04-07,65.67,66.57,65.36,66.25,65.8498805127,17793257,0.0000,1.0,63.7877,63.6161,58.9875,82.0260,82.2979,0.0700,1.1452,1.2152,33.2940,140.9514,0.0000,55.0000,66.3829,63.7877,61.1924,-1962411317.0874,3000951812.0000
2021-04-06,66.0616,66.575,65.29,65.56,65.1640477949,28771404,0.0000,1.0,63.6097,63.3810,57.7352,81.4738,77.0654,0.0276,1.1277,1.1553,32.8921,138.2700,0.0000,60.0000,66.1009,63.6097,61.1186,-1970793264.5994,2983158555.0000
2021-04-05,64.95,66.74,64.7,66.54,66.1381290463,27947521,0.0000,1.0,63.3260,63.1933,60.2161,83.3940,68.8685,0.0111,1.1208,1.1319,32.4691,155.8403,0.0000,65.0000,66.2920,63.3260,60.3599,-1954112567.3366,3011929959.0000
2021-04-01,64.725,64.89,63.575,64.55,64.1601477297,31416250,0.0000,1.0,63.0377,62.8833,56.6203,66.3286,58.6266,-0.1316,1.1180,0.9864,32.0238,54.6517,0.0000,70.0000,65.9750,63.0377,60.1005,-1976580182.2586,2983982438.0000
2021-03-31,64.01,64.4899,63.58,64.0,63.6134694764,33013231,0.0000,1.0,62.7286,62.7489,55.5658,56.8829,51.0655,-0.1632,1.1509,0.9877,31.8900,42.5804,5.0000,75.0000,66.3499,62.7286,59.1073,-1991750766.8585,2952566188.0000
2021-03-30,63.77,64.0,63.15,63.77,63.3848585705,20709487,0.0000,1.0,62.5248,62.6579,55.1325,52.6682,40.6966,-0.1610,1.1917,1.0307,31.8270,29.4293,10.0000,80.0000,66.3754,62.5248,58.6743,-1989214636.6789,2919552957.0000
2021-03-29,64.0113,65.125,63.61,64.5,64.1104497067,26161610,0.0000,1.0,62.3991,62.5813,56.8026,43.6453,26.8368,-0.1381,1.2320,1.0939,31.8559,67.3195,15.0000,85.0000,66.2931,62.3991,58.5051,-1998716636.5983,2940262444.0000
2021-03-26,61.8,64.97,61.77,64.87,64.4782150771,34705755,0.0000,1.0,62.3186,62.4204,57.6434,25.7763,22.8913,-0.1818,1.2665,1.0847,31.7155,49.0741,20.0000,90.0000,66.1335,62.3186,58.5037,-2003292759.7986,2966424054.0000
2021-03-25,61.655,62.44,60.975,62.02,61.6454277645,35401428,0.0000,1.0,62.1153,62.2038,52.4983,11.0888,28.5330,-0.2922,1.3120,1.0197,31.5953,-37.4697,25.0000,95.0000,65.8812,62.1153,58.3494,-2035829405.1102,2931718299.0000
2021-03-24,66.58,67.44,61.99,62.04,61.6653069737,74584670,0.0000,1.0,62.0348,62.2625,52.5408,31.8087,41.3463,-0.1746,1.3850,1.2105,31.9588,51.9303,30.0000,100.0000,65.9049,62.0348,58.1648,-2050932403.4051,2967119727.0000
2021-03-23,66.0,66.05,63.17,63.48,63.0966100369,35159952,0.0000,1.0,62.0920,62.3254,55.6244,42.7015,48.2623,0.0056,1.4287,1.4342,31.9685,75.2526,35.0000,95.0000,65.9722,62.0920,58.2117,-1977716259.4594,3041704397.0000
2021-03-22,64.82,66.38,64.56,65.63,65.2336250272,34380148,0.0000,1.0,61.9747,62.2442,60.6753,49.5287,55.9930,0.1260,1.4273,1.5533,32.2654,140.1501,40.0000,100.0000,65.8682,61.9747,58.0812,-1950125463.7909,3076864349.0000
2021-03-19,63.18,64.99,62.92,63.76,63.3749189659,54951650,0.0000,1.0,61.7302,61.9295,57.4855,52.5566,67.3672,0.0692,1.3958,1.4650,32.0324,82.7937,45.0000,90.0000,65.3810,61.7302,58.0794,-1956170324.9798,3042484201.0000
2021-03-18,65.63,65.7,63.65,63.725,63.3401303498,30107865,0.0000,1.0,61.6929,61.7774,57.4241,65.8937,76.0504,0.1419,1.3785,1.5203,32.0687,112.4426,50.0000,95.0000,65.2906,61.6929,58.0952,-1945817115.5602,2987532551.0000
2021-03-17,64.2235,66.29,63.71,65.78,65.3827190962,32394652,0.0000,1.0,61.5878,61.6129,62.4558,83.6512,81.6162,0.2293,1.3430,1.5723,31.8025,175.0297,55.0000,100.0000,65.1089,61.5878,58.0667,-1917912265.0740,3017640416.0000
2021-03-16,64.15,65.7302,64.08,64.78,64.3887586357,30186635,0.0000,1.0,61.3925,61.2161,60.8708,78.6063,79.0375,0.1222,1.2857,1.4079,31.4975,188.3993,60.0000,100.0000,64.4531,61.3925,58.3318,-1937499729.0735,2985245764.0000
2021-03-15,63.61,63.875,62.48,63.79,63.4047377797,21251484,0.0000,1.0,61.2777,60.8821,59.2529,82.5911,80.1757,0.0236,1.2551,1.2787,31.2799,118.1066,65.0000,85.0000,64.0376,61.2777,58.5177,-1932922892.2803,2955059129.0000
2021-03-12,62.65,63.3,62.24,62.9,62.5201129698,20172961,0.0000,1.0,61.1793,60.6166,57.7613,75.9152,74.6070,-0.0538,1.2492,1.1955,31.4246,93.0634,70.0000,90.0000,63.7636,61.1793,58.5949,-1951584589.6981,2933807645.0000
2021-03-11,62.94,64.09,62.39,63.31,62.9276367586,30701765,0.0000,1.0,61.0679,60.4162,58.7017,82.0208,69.5128,-0.1008,1.2627,1.1618,31.7031,135.4145,75.0000,95.0000,63.6030,61.0679,58.5329,-1956532674.4727,2953980606.0000
2021-03-10,63.22,64.12,62.13,62.25,61.8740386704,27160323,0.0000,1.0,60.8468,60.1518,56.9816,65.8849,53.2199,-0.2273,1.2879,1.0605,31.9406,111.8107,80.0000,100.0000,63.4647,60.8468,58.2289,-1959061055.1182,2923278841.0000
2021-03-09,61.18,63.165,60.84,62.67,62.2915020639,36387479,0.0000,1.0,60.6743,59.9706,57.8892,60.6326,38.8108,-0.3216,1.3447,1.0231,32.1905,78.7478,85.0000,60.0000,63.4486,60.6743,57.9001,-1935176348.9606,2950439164.0000
2021-03-08,60.4677,61.695,59.72,59.85,59.4885335651,33112387,0.0000,1.0,60.4999,59.7262,53.1269,33.1423,24.6258,-0.5072,1.4251,0.9179,32.6477,-25.2891,90.0000,65.0000,63.2842,60.4999,57.7156,-1956069804.6444,2914051685.0000
2021-03-05,59.26,61.175,58.51,60.74,60.373158375,39511670,0.0000,1.0,60.4169,59.7513,54.9915,22.6575,28.1351,-0.4961,1.5519,1.0557,33.4508,-33.4556,0.0000,70.0000,63.4081,60.4169,57.4257,-1927316516.6935,2947164072.0000
2021-03-04,59.83,60.235,57.905,58.33,57.977713665,40210352,0.0000,1.0,60.3200,59.6858,50.5245,18.0775,38.5997,-0.5497,1.6759,1.1262,34.4163,-94.5928,0.0000,75.0000,63.4337,60.3200,57.2063,-1953929442.6423,2907652402.0000
2021-03-03,60.64,61.52,59.7,59.9,59.5382315881,28740357,0.0000,1.0,60.2708,59.8656,53.8309,43.6703,49.2278,-0.3697,1.8133,1.4437,35.6550,-9.8170,0.0000,80.0000,63.5571,60.2708,56.9846,-1928388103.1732,2947862754.0000
2021-03-02,62.8,63.14,61.11,61.24,60.8701386053,23320016,0.0000,1.0,60.1595,59.9001,56.8473,54.0512,52.7598,-0.2368,1.9058,1.6690,36.3795,60.9362,0.0000,85.0000,63.6801,60.1595,56.6389,-1905964308.1509,2976603111.0000
2021-03-01,61.72,63.08,61.65,62.88,62.5002337606,28503500,0.0000,1.0,59.9168,59.7980,60.8091,49.9619,54.0354,-0.1683,1.9650,1.7966,36.6290,93.4200,0.0000,90.0000,63.8526,59.9168,55.9809,-1885631092.2304,2999923127.0000
2021-02-26,60.89,61.69,59.68,60.78,60.4129167934,38098784,0.0000,1.0,59.5343,59.5135,57.1788,54.2663,53.8435,-0.2395,2.0070,1.7675,36.6839,33.0373,0.0000,95.0000,63.8592,59.5343,55.2095,-1906161585.2378,2971419627.0000
