,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2021-05-06,246.45,249.86,244.69,249.73,249.73,26491085,0.0000,1.0,256.0300,252.2451,51.1757,25.9573,20.5690,3.2957,-2.0535,1.2422,19.9593,-138.6996,65.0000,100.0000,265.1135,256.0300,246.9465,-2320528474.7790,1094553238.0000
2021-05-05,249.06,249.5,245.82,246.47,246.47,21901325,0.0000,1.0,256.2060,252.5099,47.8908,15.2843,19.3945,3.8091,-2.1875,1.6216,20.3784,-171.3987,70.0000,95.0000,264.9234,256.2060,247.4886,-2345687319.5276,1068062153.0000
2021-05-04,250.97,251.21,245.76,247.79,247.79,32756052,0.0000,1.0,256.3775,253.1456,49.1631,20.4655,21.2851,4.3560,-1.9417,2.4143,20.9567,-159.5725,75.0000,100.0000,264.4318,256.3775,248.3232,-2331522875.6417,1089963478.0000
2021-05-03,253.4,254.35,251.12,251.86,251.86,19626568,0.0000,1.0,256.3810,253.7094,53.3118,22.4336,28.2743,4.8414,-1.5849,3.2565,21.5655,-75.4804,80.0000,0.0000,264.4204,256.3810,248.3416,-2323168579.8105,1122719530.0000
2021-04-30,249.74,253.08,249.6,252.18,252.18,30945098,0.0000,1.0,256.2415,253.9041,53.6500,20.9562,41.5230,5.2376,-1.3679,3.8697,22.5026,-79.6759,85.0000,0.0000,264.6769,256.2415,247.8061,-2312534990.3368,1142346098.0000
2021-04-29,255.46,256.1,249.0,252.51,252.51,40589023,0.0000,1.0,255.7500,254.0856,53.9855,41.4331,63.4883,5.5796,-1.0161,4.5635,23.6601,-45.4066,90.0000,0.0000,266.0206,255.7500,245.4794,-2327474003.1644,1173291196.0000
2021-04-28,256.078,256.5399,252.95,254.56,254.56,46903119,0.0000,1.0,254.9130,254.2514,56.0540,62.1798,72.0810,5.8336,-0.4846,5.3490,24.8786,0.8984,95.0000,0.0000,268.3452,254.9130,241.4808,-2327016662.0602,1213880219.0000
2021-04-27,261.585,263.19,260.12,261.97,261.97,31014213,0.0000,1.0,253.7775,254.2189,64.5468,86.8521,73.0501,5.9548,0.1104,6.0652,25.6071,81.5768,100.0000,5.0000,270.5591,253.7775,236.9959,-2322183807.7416,1260783338.0000
2021-04-26,261.66,262.435,260.17,261.55,261.55,19763346,0.0000,1.0,252.4410,253.4030,64.2552,67.2112,61.2742,5.9272,0.2093,6.1365,25.0861,80.5320,100.0000,10.0000,270.6009,252.4410,234.2811,-2328548287.9338,1229769125.0000
2021-04-23,257.88,261.51,257.27,261.15,261.15,21499286,0.0000,1.0,251.1875,252.5454,63.9871,65.0871,59.5704,5.8748,0.3062,6.1811,24.6142,73.4334,95.0000,15.0000,270.1045,251.1875,232.2705,-2332867429.7749,1210005779.0000
2021-04-22,260.21,261.78,255.64,257.17,257.17,25606152,0.0000,1.0,249.7470,251.6397,61.2401,51.5242,60.2770,5.7983,0.3905,6.1888,24.2110,65.5319,100.0000,20.0000,269.7657,249.7470,229.7283,-2350715893.6239,1188506493.0000
2021-04-21,258.94,260.68,257.25,260.58,260.58,24030383,0.0000,1.0,248.6615,251.0576,65.2940,62.0999,70.5278,5.7007,0.8131,6.5138,23.7865,80.7046,90.0000,25.0000,269.2973,248.6615,228.0257,-2337871113.7933,1214112645.0000
2021-04-20,257.82,260.2,256.84,258.26,258.26,19722875,0.0000,1.0,247.5115,250.0552,63.7427,67.2070,76.5072,5.4974,0.9894,6.4867,23.0321,80.4849,95.0000,0.0000,267.9247,247.5115,227.0983,-2360500308.2802,1190082262.0000
2021-04-19,260.19,261.48,257.821,258.74,258.74,23209260,0.0000,1.0,246.3980,249.1915,64.3077,82.2764,80.5889,5.2500,1.3440,6.5940,22.2792,93.7628,100.0000,0.0000,266.7740,246.3980,226.0220,-2357447958.5778,1209805137.0000
2021-04-16,259.47,261.0,257.6014,260.74,260.74,24878582,0.0000,1.0,244.9785,248.1864,66.6459,80.0381,78.4729,4.9140,1.6722,6.5862,21.3042,105.7557,100.0000,5.0000,265.6706,244.9785,224.2864,-2345897244.5959,1233014397.0000
2021-04-15,257.931,259.93,257.73,259.5,259.5,25627481,0.0000,1.0,243.4775,246.8650,65.9160,79.4520,82.5493,4.4960,1.7808,6.2768,20.3150,113.4178,100.0000,10.0000,263.7291,243.4775,223.2259,-2366969299.6024,1208135815.0000
