,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD_Signal,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-06,84.865,85.12,83.28,84.8,84.8,13518124,0.0000,1.0,88.3800,87.3928,45.6674,33.5178,42.7397,-0.4823,-0.7581,-1.2404,12.4203,-99.1224,10.0000,90.0000,88.3800,81.8708,94.8892,-981041149.5078,2278446795.0000
2021-05-05,85.49,85.95,84.03,85.15,85.15,13172100,0.0000,1.0,88.9045,87.6658,46.1195,29.8496,34.4896,-0.5302,-0.6376,-1.1678,12.2149,-89.0507,15.0000,95.0000,88.9045,81.9578,95.8512,-989857317.3339,2291964919.0000
2021-05-04,84.14,85.44,82.03,84.41,84.41,17850528,0.0000,1.0,89.3450,87.9306,45.0265,30.6722,23.3240,-0.5886,-0.5050,-1.0936,12.1209,-119.4918,20.0000,100.0000,89.3450,82.2900,96.4000,-992052667.3339,2278792819.0000
2021-05-03,86.97,87.0102,83.87,85.02,85.02,16300447,0.0000,1.0,89.7990,88.3012,45.7533,43.3855,31.7352,-0.5499,-0.3579,-0.9078,11.9125,-100.4995,25.0000,100.0000,89.7990,82.9060,96.6920,-999119591.9087,2296643347.0000
2021-04-30,86.9335,88.4799,85.56,86.07,86.07,14548113,0.0000,1.0,90.2355,88.6466,46.9938,54.1258,36.9575,-0.4991,-0.2204,-0.7195,11.9876,-79.8608,30.0000,70.0000,90.2355,83.5046,96.9664,-994758202.3254,2312943794.0000
2021-04-29,87.72,88.09,85.55,88.06,88.06,16463338,0.0000,1.0,90.5525,88.9178,49.4057,62.8535,61.4636,-0.4800,-0.0956,-0.5756,12.3576,-76.9365,35.0000,75.0000,90.5525,84.0426,97.0624,-985292138.4572,2327491907.0000
2021-04-28,87.6635,87.76,85.35,86.03,86.03,19433542,0.0000,1.0,90.5600,89.0081,46.7576,54.8021,63.9563,-0.6106,0.0244,-0.5862,12.6713,-98.7104,40.0000,80.0000,90.5600,84.0613,97.0587,-1001366578.7092,2311028569.0000
2021-04-27,89.33,90.19,88.03,89.46,89.46,17680981,0.0000,1.0,90.5855,89.3215,51.0461,44.4218,63.1405,-0.5615,0.1770,-0.3845,12.9390,-32.4077,45.0000,85.0000,90.5855,84.1544,97.0166,-992899682.8171,2330462111.0000
2021-04-26,86.47,88.3,86.11,87.84,87.84,14757740,0.0000,1.0,90.4420,89.3070,48.9451,32.5975,37.3096,-0.7881,0.3174,-0.4707,13.5611,-68.7867,50.0000,90.0000,90.4420,83.7925,97.0915,-998629630.3634,2312781130.0000
2021-04-23,85.24,86.46,84.565,86.03,86.03,18168500,0.0000,1.0,90.4495,89.4614,46.5082,30.2110,32.8151,-0.9234,0.5145,-0.4089,13.9832,-105.2581,55.0000,0.0000,90.4495,83.8114,97.0876,-1007187771.8246,2298023390.0000
2021-04-22,88.2,88.36,83.9,84.71,84.71,34044137,0.0000,1.0,90.3525,89.8226,44.6789,24.8827,27.6676,-0.8851,0.7453,-0.1398,14.0586,-98.1522,60.0000,5.0000,90.3525,83.4092,97.2958,-1017110936.7322,2279854890.0000
2021-04-21,87.06,89.56,86.33,89.49,89.49,14781306,0.0000,1.0,90.2670,90.3607,50.6362,20.7152,30.1503,-0.6266,0.9666,0.3400,14.1380,-37.1250,65.0000,10.0000,90.2670,83.0128,97.5212,-995432607.3421,2313899027.0000
2021-04-20,88.38,88.95,86.53,87.48,87.48,17396914,0.0000,1.0,90.0625,90.4524,47.8589,15.4113,16.8302,-0.6623,1.1232,0.4609,14.6172,-51.3176,70.0000,15.0000,90.0625,82.5078,97.6172,-1009573237.5402,2299117721.0000
2021-04-19,90.665,90.68,86.52,88.41,88.41,21361565,0.0000,1.0,90.2525,90.7653,49.0725,14.2499,15.1651,-0.4757,1.2888,0.8131,15.0060,-38.3961,75.0000,20.0000,90.2525,82.7764,97.7286,-1005835057.6725,2316514635.0000
2021-04-16,90.4351,91.3301,90.08,90.66,90.66,12358662,0.0000,1.0,90.3575,91.0132,52.1094,20.0909,14.2387,-0.2515,1.4077,1.1562,15.4152,4.3657,80.0000,25.0000,90.3575,82.9291,97.7859,-1003883760.8696,2337876200.0000
