,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-05-03,512.65,518.95,505.2,509.11,509.11,4091895,0.0000,1.0,531.2445,521.8747,43.8391,63.7553,71.7370,-3.5632,-6.6531,-3.0899,13.5589,-64.2052,90.0000,55.0000,489.5302,572.9588,531.2445,1813907703.2656,1924678093.0000
2021-04-30,505.0,514.55,505.0,513.47,513.47,4413242,0.0000,1.0,532.8225,523.2183,45.2149,50.2349,69.6844,-2.7907,-6.3700,-3.5793,13.7771,-71.9691,95.0000,60.0000,492.2034,573.4416,532.8225,1815672425.9820,1928769988.0000
2021-04-29,507.6,509.29,499.0,509.0,509.0,5127792,0.0000,1.0,534.1200,524.2444,43.4876,33.3338,49.8444,-1.8959,-6.3599,-4.4640,13.8048,-100.1139,100.0000,65.0000,494.4089,573.8311,534.1200,1812257362.2773,1924356746.0000
2021-04-28,505.2,508.395,503.34,506.52,506.52,3192983,0.0000,1.0,534.7530,525.8491,42.5326,20.7712,31.1758,-0.7799,-5.7993,-5.0194,13.5866,-107.8334,80.0000,70.0000,496.2794,573.2266,534.7530,1807418600.3414,1919228954.0000
2021-04-27,512.62,512.99,504.5808,505.55,505.55,3761327,0.0000,1.0,535.0965,527.8838,42.1695,13.6944,18.9812,0.4750,-4.7470,-5.2220,13.5021,-104.8513,85.0000,75.0000,497.5252,572.6678,535.0965,1806594299.0921,1916035971.0000
2021-04-26,506.76,510.48,503.0,510.3,510.3,4388839,0.0000,1.0,535.5165,530.2347,43.4466,14.7015,12.1568,1.7805,-3.2361,-5.0166,13.4543,-106.6274,0.0000,80.0000,499.1059,571.9271,535.5165,1809488604.7040,1919797298.0000
2021-04-23,509.01,509.7,500.7,505.55,505.55,7314659,0.0000,1.0,535.4040,532.3331,41.7713,24.8629,9.9452,3.0346,-1.7442,-4.7788,13.2954,-114.7012,5.0000,85.0000,498.6700,572.1380,535.4040,1805310993.2495,1915408459.0000
2021-04-22,513.82,513.96,500.55,508.78,508.78,9061062,0.0000,1.0,535.2695,535.1523,42.5863,38.9735,22.0025,4.2293,0.6691,-3.5603,13.0954,-105.6867,10.0000,90.0000,498.0823,572.4567,535.2695,1804742075.3273,1922723118.0000
2021-04-21,508.0,515.46,503.6001,508.9,508.9,22897446,0.0000,1.0,535.8710,537.9284,42.6156,49.7616,42.6409,5.1194,3.4106,-1.7088,12.8848,-110.1590,15.0000,95.0000,500.0532,571.6888,535.8710,1802681207.3854,1931784180.0000
2021-04-20,554.42,563.56,546.3,549.57,549.57,11257648,0.0000,1.0,537.1805,540.9840,54.7657,46.1198,52.2770,5.5466,6.8481,1.3015,12.7471,74.2077,20.0000,100.0000,503.5547,570.8063,537.1805,1805114033.2697,1954681626.0000
2021-04-19,546.9,556.44,545.53,554.44,554.44,4288715,0.0000,1.0,535.8575,540.0802,56.6014,42.5277,54.3669,5.2212,6.9949,1.7737,12.7036,75.7898,25.0000,80.0000,502.2036,569.5114,535.8575,1812106037.1260,1965939274.0000
2021-04-16,550.54,551.98,539.51,546.54,546.54,3209075,0.0000,1.0,533.7445,538.5686,54.2375,40.2573,31.7154,4.7778,6.5847,1.8070,12.9199,54.3276,30.0000,85.0000,499.7182,567.7708,533.7445,1809389719.9262,1961650559.0000
2021-04-15,544.17,553.49,542.66,549.22,549.22,3139050,0.0000,1.0,531.6570,537.7296,55.2066,55.2300,41.5008,4.3260,6.7698,2.4438,13.3186,69.3010,35.0000,90.0000,495.9458,567.3682,531.6570,1808980543.5629,1964859634.0000
2021-04-14,554.87,554.87,538.53,540.02,540.02,3740294,0.0000,1.0,530.4180,536.5200,52.4349,69.7332,47.5558,3.7151,6.6347,2.9196,13.6028,59.8320,40.0000,95.0000,495.5200,565.3160,530.4180,1808316792.4549,1961720584.0000
2021-04-13,557.0,559.75,550.3,553.73,553.73,2720344,0.0000,1.0,529.6185,536.1516,57.4693,83.6548,76.6332,2.9852,7.3024,4.3172,13.9020,110.1972,45.0000,100.0000,494.9048,564.3322,529.6185,1811374952.0534,1965460878.0000
2021-04-12,551.05,557.98,549.58,552.78,552.78,2944060,0.0000,1.0,527.9445,534.3013,57.1988,86.2569,85.0106,1.9059,6.6525,4.7466,13.7073,121.4776,50.0000,100.0000,494.8521,561.0369,527.9445,1812120527.8164,1962740534.0000
2021-04-09,552.69,556.9,547.11,555.31,555.31,2894034,0.0000,1.0,526.2065,532.3561,58.1343,86.2992,89.3206,0.7193,5.8230,5.1037,13.5587,140.1091,55.0000,100.0000,494.9117,557.5013,526.2065,1812821494.4830,1965684594.0000
