,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-05-06,4.8,4.88,4.79,4.87,4.87,37305569,0.0000,1.0,4.3455,4.4302,67.0711,70.2968,74.4785,0.1217,0.0684,0.1901,35.4368,129.5999,85.0000,0.0000,3.7740,4.9170,4.3455,-1354612552.8525,-129946853.0000
2021-05-05,4.79,4.85,4.7623,4.8,4.8,18888203,0.0000,1.0,4.3050,4.3839,65.7206,76.0688,76.7251,0.1046,0.0692,0.1738,34.6051,146.0176,90.0000,0.0000,3.7745,4.8355,4.3050,-1383627995.4080,-167252422.0000
2021-05-04,4.8,4.83,4.61,4.7,4.7,54431751,0.0000,1.0,4.2675,4.3401,63.7001,77.0697,71.3078,0.0873,0.0702,0.1575,33.7811,154.0055,95.0000,0.0000,3.7779,4.7571,4.2675,-1380978908.7843,-186140625.0000
2021-05-03,4.76,4.94,4.72,4.91,4.91,73060437,0.0000,1.0,4.2325,4.3022,72.1886,77.0368,68.2018,0.0698,0.0749,0.1446,32.9475,261.8174,100.0000,5.0000,3.7723,4.6927,4.2325,-1371082226.7843,-131708874.0000
2021-04-30,4.76,4.83,4.63,4.68,4.68,67006412,0.0000,1.0,4.1895,4.2382,67.7118,59.8170,65.8955,0.0511,0.0537,0.1047,31.5019,313.2434,95.0000,0.0000,3.8442,4.5348,4.1895,-1424217090.0570,-204769311.0000
2021-04-29,4.86,4.93,4.55,4.67,4.67,165782300,0.0000,1.0,4.1555,4.1917,67.4957,67.7516,72.7242,0.0376,0.0380,0.0757,30.1336,443.3472,100.0000,0.0000,3.8841,4.4269,4.1555,-1390713884.0570,-271775723.0000
2021-04-28,4.26,4.3,4.19,4.2,4.2,30467290,0.0000,1.0,4.1200,4.1414,53.6412,70.1178,71.4366,0.0281,0.0104,0.0385,28.6932,117.8540,100.0000,0.0000,3.9673,4.2727,4.1200,-1329636194.5834,-437558023.0000
2021-04-27,4.2,4.23,4.17,4.22,4.22,29219020,0.0000,1.0,4.1095,4.1352,54.5817,80.3030,71.2121,0.0255,0.0128,0.0384,28.5497,100.7944,100.0000,5.0000,3.9515,4.2675,4.1095,-1304708411.8561,-407090733.0000
2021-04-26,4.21,4.23,4.17,4.2,4.2,33928842,0.0000,1.0,4.0995,4.1263,53.8124,63.8889,63.8889,0.0223,0.0132,0.0356,28.6487,103.7334,100.0000,10.0000,3.9454,4.2536,4.0995,-1324187758.5228,-436309753.0000
2021-04-23,4.16,4.2,4.12,4.2,4.2,24070920,0.0000,1.0,4.0925,4.1186,53.8124,69.4444,65.0463,0.0190,0.0145,0.0335,28.7529,87.9330,95.0000,0.0000,3.9447,4.2403,4.0925,-1324187758.5228,-436309753.0000
2021-04-22,4.2,4.23,4.16,4.16,4.16,30173596,0.0000,1.0,4.0810,4.1100,52.3557,58.3333,64.4231,0.0154,0.0151,0.0305,28.9689,105.6667,100.0000,5.0000,3.9327,4.2293,4.0810,-1348258678.5228,-460380673.0000
2021-04-21,4.14,4.22,4.13,4.21,4.21,24943524,0.0000,1.0,4.0690,4.1047,54.3928,67.3611,69.9446,0.0116,0.0185,0.0302,28.9592,120.6469,100.0000,10.0000,3.9098,4.2282,4.0690,-1318085082.5228,-430207077.0000
2021-04-20,4.13,4.15,4.11,4.15,4.15,31939946,0.0000,1.0,4.0575,4.0936,52.2760,67.5748,72.9662,0.0070,0.0173,0.0243,28.9812,85.6355,95.0000,15.0000,3.9077,4.2073,4.0575,-1337485601.1894,-455150601.0000
2021-04-19,4.17,4.22,4.15,4.17,4.17,32936812,0.0000,1.0,4.0530,4.0877,53.0558,74.8980,75.2898,0.0027,0.0198,0.0225,29.2341,144.4178,100.0000,20.0000,3.9093,4.1967,4.0530,-1369425547.1894,-423210655.0000
2021-04-16,4.15,4.19,4.13,4.18,4.18,22913743,0.0000,1.0,4.0455,4.0790,53.4344,76.4258,73.6571,-0.0023,0.0201,0.0178,29.2762,154.4876,100.0000,25.0000,3.9117,4.1793,4.0455,-1355309770.6180,-390273843.0000
2021-04-15,4.12,4.17,4.1,4.13,4.13,26112457,0.0000,1.0,4.0320,4.0684,51.8006,74.5455,73.0892,-0.0073,0.0179,0.0106,29.4148,137.7315,0.0000,30.0000,3.9008,4.1632,4.0320,-1370585599.2847,-413187586.0000
2021-04-14,4.13,4.17,4.11,4.13,4.13,28670001,0.0000,1.0,4.0395,4.0619,51.8006,70.0000,71.2108,-0.0118,0.0182,0.0064,29.6230,117.0009,0.0000,35.0000,3.8740,4.2050,4.0395,-1366855248.2847,-413187586.0000
2021-04-13,4.08,4.15,4.06,4.13,4.13,23394671,0.0000,1.0,4.0450,4.0548,51.8006,74.7222,76.4031,-0.0163,0.0172,0.0008,29.7911,70.1443,0.0000,40.0000,3.8615,4.2285,4.0450,-1357298581.2847,-413187586.0000
2021-04-12,4.11,4.13,4.07,4.07,4.07,20165962,0.0000,1.0,4.0535,4.0468,49.9955,68.9103,77.4420,-0.0206,0.0144,-0.0062,30.0258,28.1212,5.0000,45.0000,3.8415,4.2655,4.0535,-1370295620.7291,-436582257.0000
2021-04-09,4.08,4.15,4.07,4.13,4.13,45389610,0.0000,1.0,4.0610,4.0444,51.8399,85.5769,81.8762,-0.0242,0.0151,-0.0091,30.3291,44.5685,10.0000,50.0000,3.8370,4.2850,4.0610,-1350129658.7291,-416416295.0000
2021-04-08,4.08,4.1,4.02,4.06,4.06,20646766,0.0000,1.0,4.0595,4.0354,49.7868,77.8388,75.1993,-0.0280,0.0093,-0.0187,30.6483,-1.2789,15.0000,55.0000,3.8369,4.2821,4.0595,-1372824463.7291,-461805905.0000
2021-04-07,4.03,4.05,4.0,4.05,4.05,30073118,0.0000,1.0,4.0545,4.0328,49.4946,82.2129,67.4677,-0.0303,0.0068,-0.0235,31.1176,-19.5139,20.0000,60.0000,3.8277,4.2813,4.0545,-1372824463.7291,-482452671.0000
2021-04-06,4.02,4.04,3.99,4.0,4.0,24788120,0.0000,1.0,4.0500,4.0310,48.0589,65.5462,54.3909,-0.0321,0.0037,-0.0283,31.7467,-35.2550,25.0000,0.0000,3.8195,4.2805,4.0500,-1402897581.7291,-512525789.0000
2021-04-05,4.01,4.05,4.0,4.05,4.05,21294321,0.0000,1.0,4.0435,4.0343,49.3928,54.6440,48.3316,-0.0330,0.0040,-0.0289,32.4356,-11.4510,30.0000,0.0000,3.8007,4.2863,4.0435,-1388024709.7291,-487737669.0000
2021-04-01,4.0,4.04,3.97,4.0,4.0,24315868,0.0000,1.0,4.0350,4.0326,48.0223,42.9825,50.8633,-0.0340,-0.0004,-0.0344,33.1232,-25.6882,35.0000,0.0000,3.7821,4.2879,4.0350,-1409319030.7291,-509031990.0000
2021-03-31,3.97,4.0,3.96,3.96,3.96,18639328,0.0000,1.0,4.0260,4.0360,46.9300,47.3684,55.7226,-0.0339,-0.0020,-0.0358,33.8714,-39.6743,40.0000,5.0000,3.7565,4.2955,4.0260,-1405845335.3005,-533347858.0000
2021-03-30,3.99,4.0,3.91,3.99,3.99,29751356,0.0000,1.0,4.0270,4.0440,47.6433,62.2389,52.6075,-0.0334,0.0004,-0.0331,34.7539,-44.7143,45.0000,10.0000,3.7583,4.2957,4.0270,-1387206007.3005,-514708530.0000
2021-03-29,4.04,4.08,4.0,4.02,4.02,26233552,0.0000,1.0,4.0295,4.0497,48.3414,57.5606,38.0643,-0.0335,0.0014,-0.0321,35.6828,-1.7642,50.0000,15.0000,3.7613,4.2977,4.0295,-1410345950.8561,-484957174.0000
2021-03-26,4.02,4.09,3.97,4.06,4.06,34522194,0.0000,1.0,4.0305,4.0529,49.2555,38.0231,25.1647,-0.0338,0.0005,-0.0334,36.3691,2.6560,55.0000,20.0000,3.7623,4.2987,4.0305,-1397229174.8561,-458723622.0000
2021-03-25,3.92,4.0,3.9,3.97,3.97,37997345,0.0000,1.0,4.0235,4.0521,47.1180,18.6092,20.8188,-0.0340,-0.0047,-0.0387,37.0916,-50.9815,60.0000,25.0000,3.7515,4.2955,4.0235,-1414490271.8561,-493245816.0000
2021-03-24,3.98,3.9966,3.92,3.92,3.92,35003506,0.0000,1.0,4.0275,4.0608,45.9157,18.8617,20.9499,-0.0328,-0.0029,-0.0357,38.0336,-62.7763,65.0000,30.0000,3.7564,4.2986,4.0275,-1429689209.8561,-531243161.0000
2021-03-23,4.06,4.08,3.98,3.98,3.98,33771349,0.0000,1.0,4.0335,4.0756,47.1375,24.9854,24.7253,-0.0321,0.0058,-0.0263,38.9656,-21.2602,70.0000,35.0000,3.7669,4.3001,4.0335,-1394685703.8561,-496239655.0000
2021-03-22,4.07,4.11,4.04,4.06,4.06,31188942,0.0000,1.0,4.0320,4.0856,48.7817,19.0025,31.4782,-0.0335,0.0136,-0.0199,39.7703,19.6831,75.0000,40.0000,3.7639,4.3001,4.0320,-1360914354.8561,-462468306.0000
2021-03-19,3.94,4.09,3.93,4.02,4.02,47529122,0.0000,1.0,4.0270,4.0883,47.9188,30.1879,49.2088,-0.0369,0.0171,-0.0198,40.4406,-14.6650,80.0000,45.0000,3.7574,4.2966,4.0270,-1347547665.4275,-493657248.0000
2021-03-18,4.04,4.13,3.91,3.91,3.91,83860089,0.0000,1.0,4.0295,4.0955,45.5209,45.2441,66.6651,-0.0412,0.0260,-0.0152,41.1795,-35.9996,85.0000,50.0000,3.7593,4.2997,4.0295,-1353488805.6775,-541186370.0000
2021-03-17,4.19,4.3,4.16,4.28,4.28,24682453,0.0000,1.0,4.0400,4.1151,53.3734,72.1944,81.4476,-0.0477,0.0498,0.0021,41.9574,126.8259,90.0000,55.0000,3.7729,4.3071,4.0400,-1269628716.6775,-457326281.0000
2021-03-16,4.32,4.35,4.19,4.24,4.24,37064662,0.0000,1.0,4.0315,4.0977,52.5324,82.5568,86.0409,-0.0602,0.0467,-0.0135,42.0544,153.0990,95.0000,60.0000,3.7855,4.2775,4.0315,-1287259040.2489,-482008734.0000
2021-03-15,4.29,4.39,4.26,4.3,4.3,59715113,0.0000,1.0,4.0260,4.0827,53.9182,89.5915,84.8516,-0.0718,0.0426,-0.0292,42.0642,209.0654,100.0000,65.0000,3.7944,4.2576,4.0260,-1273359791.9989,-444944072.0000
2021-03-12,4.09,4.225,4.08,4.22,4.22,42936715,0.0000,1.0,4.0195,4.0598,52.3252,85.9745,75.5742,-0.0825,0.0276,-0.0549,41.8613,122.1587,45.0000,70.0000,3.8131,4.2259,4.0195,-1250392440.8451,-504659185.0000
2021-03-11,4.08,4.14,4.05,4.1,4.1,47803952,0.0000,1.0,4.0135,4.0430,49.8550,78.9890,63.8529,-0.0894,0.0106,-0.0787,41.8422,63.5245,50.0000,75.0000,3.8245,4.2025,4.0135,-1290368003.0865,-547595900.0000
2021-03-10,4.04,4.05,3.92,3.96,3.96,48054825,0.0000,1.0,4.0170,4.0370,46.7999,61.7593,48.0409,-0.0921,-0.0038,-0.0958,41.9272,-38.2002,55.0000,80.0000,3.8193,4.2147,4.0170,-1295679553.3087,-595399852.0000
2021-03-09,3.96,4.01,3.95,3.96,3.96,28745777,0.0000,1.0,4.0285,4.0451,46.7999,50.8104,35.6143,-0.0911,-0.0109,-0.1020,42.1301,-47.0133,0.0000,85.0000,3.8190,4.2380,4.0285,-1277196928.3087,-595399852.0000
2021-03-08,3.86,3.97,3.83,3.87,3.87,44731704,0.0000,1.0,4.0435,4.0540,44.8505,31.5531,26.0683,-0.0884,-0.0200,-0.1084,42.3940,-110.7635,5.0000,90.0000,3.8138,4.2732,4.0435,-1258033076.9754,-624145629.0000
2021-03-05,3.87,3.9,3.77,3.88,3.88,60969085,0.0000,1.0,4.0610,4.0734,45.0247,24.4794,25.2937,-0.0834,-0.0224,-0.1058,42.7210,-150.5336,0.0000,95.0000,3.8335,4.2885,4.0610,-1238862346.6896,-579413925.0000
