,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-05-03,605.0,609.87,591.5,593.47,593.47,5097796,0.0000,1.0,604.5075,596.6255,53.0995,20.8485,39.2544,18.3426,-4.0859,14.2567,16.7775,-22.9836,10.0000,40.0000,559.6919,604.5075,649.3231,1037935403.9588,3329883076.0000
2021-04-30,606.98,614.5999,599.88,600.38,600.38,5047752,0.0000,1.0,602.8090,596.9577,54.6845,37.5256,56.7929,19.3641,-2.8415,16.5226,17.4936,9.8996,0.0000,45.0000,554.0477,602.8090,651.5703,1041939824.0067,3334980872.0000
2021-04-29,616.0,617.46,602.86,612.99,612.99,4329912,0.0000,1.0,600.4135,596.5974,57.6687,59.3891,67.8210,20.0744,-1.6036,18.4708,17.9832,34.5298,0.0000,50.0000,546.9314,600.4135,653.8956,1046644655.7423,3340028624.0000
2021-04-28,614.58,621.29,608.6207,611.07,611.07,5235405,0.0000,1.0,596.4605,594.8719,57.3319,73.4641,64.6038,20.4753,-1.0705,19.4048,18.4034,46.1855,0.0000,55.0000,536.0436,596.4605,656.8774,1044966073.4190,3335698712.0000
2021-04-27,623.14,626.82,614.18,615.27,615.27,4114325,0.0000,1.0,591.6505,593.1668,58.2958,70.6098,49.4097,20.7430,-0.2327,20.5102,18.6626,61.8283,0.0000,60.0000,522.0346,591.6505,661.2664,1048177202.8132,3340934117.0000
2021-04-26,607.4018,619.16,605.0,619.12,619.12,4944927,0.0000,1.0,586.7835,590.8402,59.1620,49.7374,31.7891,20.8011,0.3940,21.1952,18.7568,58.2716,0.0000,65.0000,511.1066,586.7835,662.4604,1051581936.9508,3345048442.0000
2021-04-23,597.3745,613.395,596.01,610.61,610.61,5694305,0.0000,1.0,581.5060,587.8634,57.8468,27.8819,22.9988,20.7026,0.6665,21.3691,19.0342,49.8886,0.0000,70.0000,501.0169,581.5060,661.9951,1046664947.3915,3340103515.0000
2021-04-22,615.0,617.5427,591.34,594.01,594.01,6944657,0.0000,1.0,576.0460,585.4690,55.1714,17.7482,27.4592,20.5360,1.6108,22.1468,19.4627,46.4579,5.0000,75.0000,489.6000,576.0460,662.4920,1042795047.2721,3334409210.0000
2021-04-21,604.75,614.5,604.09,614.42,614.42,5419426,0.0000,1.0,571.6315,584.5699,59.5890,23.3662,44.1475,20.1333,4.3741,24.5074,19.9137,68.9461,10.0000,80.0000,480.4198,571.6315,662.8432,1048324412.3984,3341353867.0000
2021-04-20,612.93,619.88,598.52,606.85,606.85,8353326,0.0000,1.0,567.0520,581.4278,58.4157,41.2633,64.5488,19.0398,6.0460,25.0858,20.0169,72.2419,15.0000,85.0000,475.6965,567.0520,658.4075,1042988282.0910,3335934441.0000
2021-04-19,621.4616,632.3,609.3201,614.47,614.47,10110452,0.0000,1.0,563.0820,578.7518,60.0838,67.8130,80.4851,17.5283,8.7017,26.2300,20.1256,99.0820,20.0000,90.0000,472.0893,563.0820,654.0747,1044826326.6697,3344287767.0000
2021-04-16,642.1235,646.63,634.61,636.5,636.5,8380189,0.0000,1.0,558.0500,574.9920,65.1971,84.5700,87.0118,15.3529,11.1801,26.5330,19.9224,149.7285,25.0000,95.0000,467.8535,558.0500,648.2465,1050405182.2089,3354398219.0000
2021-04-15,626.5,648.566,625.26,645.49,645.49,14962017,0.0000,1.0,551.6700,568.5175,67.4215,89.0724,90.0236,12.5579,11.7328,24.2907,18.8708,174.9107,30.0000,100.0000,466.6709,551.6700,636.6691,1056150003.9526,3362778408.0000
2021-04-14,625.0,628.8184,609.1,611.08,611.08,9637548,0.0000,1.0,546.0780,560.4151,62.8074,87.3929,89.8615,9.6247,10.5354,20.1601,17.7637,159.0926,35.0000,100.0000,472.5643,546.0780,619.5917,1045137456.1273,3347816391.0000
2021-04-13,609.26,628.0,605.03,627.18,627.18,16905297,0.0000,1.0,542.1065,555.0820,67.0270,93.6055,90.3497,6.9908,11.1074,18.0982,16.9130,202.3539,40.0000,100.0000,474.7436,542.1065,609.4694,1052839517.9783,3357453939.0000
2021-04-12,571.59,614.1,565.57,608.36,608.36,21733050,0.0000,1.0,537.1300,547.4927,64.3686,88.5860,88.2259,4.2139,9.3501,13.5640,16.0313,185.7761,45.0000,100.0000,482.0574,537.1300,592.2026,1037141216.4976,3340548642.0000
2021-04-09,568.56,576.32,567.0,576.0,576.0,4879272,0.0000,1.0,532.4240,541.0856,58.9646,88.8575,89.3393,1.8764,7.6193,9.4957,15.3397,152.3324,50.0000,95.0000,487.3190,532.4240,577.5290,1020549221.8036,3318815592.0000
2021-04-08,570.11,578.86,569.9577,572.68,572.68,6110373,0.0000,1.0,529.6110,537.4104,58.3489,87.2342,90.8108,-0.0284,7.4881,7.4597,15.4019,186.4332,55.0000,100.0000,488.9267,529.6110,570.2953,1016005007.1084,3313936320.0000
2021-04-07,555.23,569.7399,548.46,565.74,565.74,6282109,0.0000,1.0,525.9135,533.6978,57.0697,91.9261,93.2764,-1.9004,6.9911,5.0906,15.3712,169.0653,0.0000,100.0000,488.2271,525.9135,563.5999,1018378308.0218,3307825947.0000
2021-04-06,559.9871,562.165,550.9449,554.46,554.46,4793649,0.0000,1.0,522.6670,530.3250,54.9326,93.2720,90.8025,-3.6482,6.3476,2.6994,15.5567,170.4216,0.0000,100.0000,488.2154,522.6670,557.1186,1014457846.1902,3301543838.0000
2021-04-05,554.7,560.5585,549.32,559.5,559.5,6391785,0.0000,1.0,518.1231,527.7844,56.1184,94.6311,84.2073,-5.2351,5.9916,0.7565,15.9394,196.1595,5.0000,100.0000,478.1184,518.1231,558.1278,1016247929.1614,3306337487.0000
2021-04-01,542.89,554.8,540.45,552.47,552.47,7706865,0.0000,1.0,515.0631,524.4460,54.8263,84.5045,72.7963,-6.7330,4.4855,-2.2475,16.3819,191.4590,10.0000,100.0000,479.0202,515.0631,551.1061,1011060166.8375,3299945702.0000
2021-03-31,520.62,538.82,519.3,533.93,533.93,7869438,0.0000,1.0,512.1722,521.4961,51.2281,73.4865,59.8549,-7.8544,2.5212,-5.3332,16.9877,112.0056,15.0000,45.0000,479.4746,512.1722,544.8699,1005856018.9734,3292238837.0000
2021-03-30,513.678,519.01,508.2,514.87,514.87,5005062,0.0000,1.0,511.0771,520.1872,47.1140,60.3981,44.0135,-8.4847,1.1784,-7.3063,17.7273,16.4241,20.0000,0.0000,479.9377,511.0771,542.2164,1001929362.9221,3284369399.0000
2021-03-29,512.81,522.5,508.0,517.93,517.93,6837997,0.0000,1.0,512.1375,520.7469,47.7281,45.6801,32.9760,-8.7793,1.0014,-7.7779,17.9264,18.4184,25.0000,0.0000,479.1632,512.1375,545.1118,1000757965.4328,3289374461.0000
2021-03-26,502.18,514.25,494.94,513.57,513.57,9099224,0.0000,1.0,513.9156,521.0435,46.7894,25.9623,31.3221,-9.0296,0.4514,-8.5783,18.1359,-33.6180,30.0000,5.0000,476.3656,513.9156,551.4657,998230264.4728,3282536464.0000
2021-03-25,499.98,508.59,490.88,501.41,501.41,7378614,0.0000,1.0,515.6574,521.8301,44.1310,27.2858,38.6871,-9.1425,0.1114,-9.0311,18.1052,-71.9972,35.0000,0.0000,475.2131,515.6574,556.1017,989771897.2641,3273437240.0000
2021-03-24,526.05,526.365,505.47,505.72,505.72,6145963,0.0000,1.0,517.1934,523.9796,44.8861,40.7184,41.1507,-9.1703,0.9308,-8.2396,17.8975,-26.4718,40.0000,0.0000,476.6967,517.1934,557.6900,988376168.4724,3280815854.0000
2021-03-23,530.17,533.78,520.85,522.83,522.83,5551152,0.0000,1.0,520.8961,525.9017,47.9823,48.0572,41.1019,-9.4030,1.8547,-7.5483,17.9817,16.1610,45.0000,5.0000,472.5009,520.8961,569.2913,994375063.6811,3286961817.0000
2021-03-22,516.51,535.78,516.27,527.45,527.45,7445077,0.0000,1.0,523.0296,526.2250,48.8465,34.6766,44.5082,-9.8667,1.5684,-8.2983,18.4220,11.7795,50.0000,0.0000,470.8661,523.0296,575.1931,998226094.8830,3292512969.0000
2021-03-19,510.0,516.86,504.5,513.83,513.83,7480174,0.0000,1.0,525.3594,526.0961,46.1289,40.5720,61.7398,-10.2588,0.6536,-9.6053,18.8854,-42.4188,55.0000,0.0000,468.6500,525.3594,582.0688,997138525.9721,3285067892.0000
2021-03-18,525.46,527.36,508.6817,508.9,508.9,7354702,0.0000,1.0,529.5114,527.3872,45.1264,58.2760,77.6439,-10.4222,0.6753,-9.7469,18.8123,-40.4341,60.0000,5.0000,465.1441,529.5114,593.8787,993325815.9236,3277587718.0000
2021-03-17,521.59,538.13,519.58,533.65,533.65,6096605,0.0000,1.0,533.7149,529.3333,49.5215,86.3713,89.5817,-10.5910,1.3070,-9.2841,18.8227,-8.7848,65.0000,0.0000,464.4840,533.7149,602.9458,1000508603.8365,3284942420.0000
2021-03-16,534.26,540.5,524.67,531.65,531.65,6803240,0.0000,1.0,536.8349,528.8789,49.1412,88.2843,88.2923,-10.9178,-0.1605,-11.0782,19.0668,-11.3552,70.0000,0.0000,462.4635,536.8349,611.2063,997356774.0818,3278845815.0000
2021-03-15,514.59,528.27,510.685,527.65,527.65,5563011,0.0000,1.0,540.9031,528.5872,48.4027,94.0895,82.3245,-10.8776,-2.1258,-13.0034,19.4354,-37.8549,75.0000,5.0000,459.5386,540.9031,622.2676,998160441.7255,3272042575.0000
2021-03-12,505.93,515.55,503.6,514.24,514.24,6099099,0.0000,1.0,544.4335,528.6858,45.9008,82.5030,63.8319,-10.3462,-4.5181,-14.8643,19.4705,-64.6858,80.0000,10.0000,459.6212,544.4335,629.2459,992989704.4611,3266479564.0000
2021-03-11,518.0,521.85,509.38,519.74,519.74,7497857,0.0000,1.0,549.2133,530.2064,46.7847,70.3810,45.9729,-9.2167,-6.4412,-15.6578,19.1145,-60.3325,85.0000,15.0000,461.0380,549.2133,637.3886,988227813.7774,3272578663.0000
2021-03-10,513.62,519.2,498.3,498.73,498.73,9609414,0.0000,1.0,552.7454,531.3082,42.7865,38.6118,28.2380,-7.6064,-9.3965,-17.0029,18.8481,-87.6434,90.0000,20.0000,463.9185,552.7454,641.5723,983267322.9795,3265080806.0000
2021-03-09,485.21,504.67,482.37,500.81,500.81,13045638,0.1600,1.0,556.3263,534.7374,43.0910,28.9259,21.0089,-5.2573,-11.0760,-16.3333,18.4873,-116.6020,95.0000,25.0000,470.7847,556.3263,641.8678,992481325.6857,3274690220.0000
2021-03-08,498.0,498.85,462.66,463.73,463.581893726,13577792,0.0000,1.0,560.1540,538.3088,35.2566,17.1763,14.7740,-2.4883,-12.9645,-15.4527,17.6548,-178.2706,100.0000,30.0000,478.1121,560.1540,642.1959,983951935.4597,3261644582.0000
2021-03-05,502.0,502.0,467.17,498.46,498.300801645,13570971,0.0000,1.0,564.1483,546.1747,40.1541,16.9244,16.1123,0.7529,-11.0664,-10.3136,16.5842,-177.4343,100.0000,35.0000,494.4524,564.1483,633.8442,996726840.6158,3275222374.0000
