,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-05-06,134.49,136.54,133.095,136.0,136.0,8323090,0.0000,1.0,136.8285,136.4904,49.1831,22.5141,20.2915,0.3746,-0.2353,0.1393,9.7562,-58.1872,90.0000,75.0000,132.1251,141.5319,136.8285,1462393762.5709,487652526.0000
2021-05-05,136.08,136.45,134.11,134.65,134.65,6285459,0.0000,1.0,137.0455,136.5420,47.7294,16.0396,27.3994,0.4334,-0.2236,0.2099,9.9693,-69.9605,95.0000,80.0000,132.1199,141.9711,137.0455,1456679943.1659,479329436.0000
2021-05-04,136.0,136.0,132.42,134.12,134.12,11996279,0.0000,1.0,137.2845,136.7412,47.1657,22.3207,41.0198,0.4893,-0.0549,0.4344,10.3310,-109.8488,100.0000,85.0000,132.3832,142.1858,137.2845,1460064421.0890,473043977.0000
2021-05-03,139.7,139.76,136.87,137.43,137.43,7920307,0.0000,1.0,137.4815,137.0171,50.3898,43.8378,57.0541,0.5031,0.2656,0.7686,10.6478,20.4752,65.0000,90.0000,132.7927,142.1703,137.4815,1460667585.9549,485040256.0000
2021-04-30,141.07,142.09,138.26,138.8,138.8,11374595,0.0000,1.0,137.6265,136.9736,51.7816,56.9007,67.2646,0.4367,0.4104,0.8470,10.8075,78.2922,70.0000,95.0000,132.7764,142.4766,137.6265,1465518431.4186,492960563.0000
2021-04-29,145.01,145.2965,140.67,142.68,142.68,20502140,0.0000,1.0,137.5760,136.7813,55.9386,70.4239,73.9920,0.3341,0.4612,0.7953,10.7582,205.7485,0.0000,100.0000,132.7549,142.3971,137.5760,1473685568.8207,504335158.0000
2021-04-28,138.17,138.2731,135.75,136.57,136.57,13118138,0.0000,1.0,137.0715,136.1604,49.9247,74.4691,68.5362,0.2188,0.1038,0.3226,10.3092,-0.3980,0.0000,35.0000,132.3825,141.7605,137.0715,1476373248.0404,483833018.0000
2021-04-27,138.71,139.38,136.98,138.01,138.01,9284499,0.0000,1.0,136.7485,136.1173,51.4984,77.0831,58.0471,0.1928,0.1439,0.3367,10.8132,49.1751,5.0000,40.0000,131.1617,142.3353,136.7485,1480964674.3286,496951156.0000
2021-04-26,135.33,139.69,135.12,138.96,138.96,9715383,0.0000,1.0,136.4115,135.9181,52.5363,54.0564,40.5963,0.1569,0.0463,0.2032,11.1328,48.6016,0.0000,45.0000,130.3748,142.4482,136.4115,1482279978.3536,506235655.0000
2021-04-23,133.74,136.1064,133.535,135.43,135.43,7669057,0.0000,1.0,136.1130,135.5979,48.9009,43.0018,32.8931,0.1453,-0.2122,-0.0669,11.4693,-22.2319,0.0000,50.0000,130.0197,142.2063,136.1130,1475668415.7431,496520272.0000
2021-04-22,135.37,135.96,132.47,132.97,132.97,8345144,0.0000,1.0,135.7055,135.6156,46.1713,24.7306,30.5616,0.1983,-0.2496,-0.0512,11.7368,-36.8187,5.0000,55.0000,128.4961,142.9149,135.7055,1472034009.2485,488851215.0000
2021-04-21,132.82,136.365,132.5,136.19,136.19,7237924,0.0000,1.0,135.4160,135.8940,49.4564,30.9470,39.6799,0.2607,-0.0407,0.2200,11.9929,-3.7767,10.0000,60.0000,127.3736,143.4584,135.4160,1477987994.5093,497196359.0000
2021-04-20,134.55,134.78,132.79,133.4,133.4,7473703,0.0000,1.0,135.2325,135.8629,46.3121,36.0072,45.1825,0.2709,-0.0358,0.2351,12.2668,-28.2645,15.0000,65.0000,127.1021,143.3629,135.2325,1471405509.9401,489958435.0000
2021-04-19,136.9,137.05,134.085,135.25,135.25,8728948,0.0000,1.0,135.2670,136.1221,48.2010,52.0856,44.5021,0.2799,0.2551,0.5350,12.2932,6.9830,20.0000,70.0000,127.1622,143.3718,135.2670,1474297344.7692,497432138.0000
2021-04-16,137.62,139.005,136.65,138.21,138.21,6583895,0.0000,1.0,135.0555,136.2140,51.3867,47.4548,35.3480,0.2161,0.5056,0.7217,12.4952,57.3879,25.0000,75.0000,126.7419,143.3691,135.0555,1476166782.1992,506161086.0000
2021-04-15,136.0,137.99,135.57,137.84,137.84,11733238,0.0000,1.0,134.6325,136.0038,51.0021,33.9660,37.0973,0.0897,0.5584,0.6481,13.0741,47.9938,30.0000,80.0000,126.1449,143.1201,134.6325,1474028064.7152,499577191.0000
2021-04-14,137.08,137.84,133.91,134.75,134.75,9967790,0.0000,1.0,134.4365,135.8106,47.7211,24.6231,50.7030,-0.0499,0.6323,0.5824,13.5263,22.0583,35.0000,85.0000,126.0741,142.7989,134.4365,1463749360.3515,487843953.0000
2021-04-13,138.38,138.77,135.75,137.3,137.3,9225208,0.0000,1.0,134.3815,135.9222,50.3651,52.7027,74.0010,-0.2080,1.0126,0.8046,13.9796,57.9234,40.0000,90.0000,126.0136,142.7494,134.3815,1469456110.3515,497811743.0000
2021-04-12,138.86,139.89,136.05,137.44,137.44,10355534,0.0000,1.0,134.0985,135.7772,50.5111,74.7830,85.9410,-0.4612,1.2781,0.8170,14.7107,75.3698,45.0000,95.0000,125.7618,142.4352,134.0985,1469211733.9807,507036951.0000
2021-04-09,139.9037,140.68,138.88,140.57,140.57,6033171,0.0000,1.0,133.7255,135.6021,53.8243,94.5174,90.6133,-0.7807,1.5873,0.8066,15.4479,129.7544,50.0000,100.0000,125.3527,142.0983,133.7255,1472070292.8452,517392485.0000
2021-04-08,140.0,140.37,138.81,140.34,140.34,7304948,0.0000,1.0,133.2840,135.0792,53.6119,88.5226,89.2785,-1.1775,1.6405,0.4630,15.8187,150.1567,55.0000,85.0000,125.4902,141.0778,133.2840,1466774509.4119,511359314.0000
2021-04-07,138.33,139.95,137.4,139.43,139.43,6958516,0.0000,1.0,132.6605,134.5254,52.7957,88.8000,91.1811,-1.5876,1.6287,0.0410,16.2476,156.1176,60.0000,90.0000,125.2380,140.0830,132.6605,1459750520.9504,504054366.0000
2021-04-06,139.85,140.23,137.635,138.06,138.06,9099981,0.0000,1.0,132.1445,134.0092,51.5772,90.5130,89.1385,-1.9948,1.5894,-0.4054,16.7498,178.3425,0.0000,95.0000,125.2609,139.0281,132.1445,1455629987.9464,497095850.0000
2021-04-05,139.04,140.5,138.23,140.33,140.33,12562765,0.0000,1.0,131.4015,133.5828,53.7617,94.2303,83.7114,-2.3922,1.5622,-0.8299,17.2471,239.1257,5.0000,100.0000,124.0409,138.7621,131.4015,1461749242.9927,506195831.0000
2021-04-01,134.5,138.4321,133.6,137.79,137.79,14069555,0.0000,1.0,130.8725,132.8725,51.5818,82.6722,75.6281,-2.7827,1.1919,-1.5908,17.6938,194.0986,10.0000,100.0000,124.7357,137.0093,130.8725,1451068125.6138,493633066.0000
2021-03-31,130.96,133.52,130.57,132.59,132.59,8361293,0.0000,1.0,130.3730,132.3549,46.6943,74.2316,67.1817,-3.0807,0.8005,-2.2801,18.3897,65.9195,15.0000,0.0000,124.9897,135.7563,130.3730,1440737756.9988,479563511.0000
2021-03-30,130.17,131.24,129.065,130.11,130.11,7097298,0.0000,1.0,130.3265,132.3301,44.1394,69.9806,53.9697,-3.2808,0.6834,-2.5974,18.9966,-12.6287,20.0000,0.0000,125.0049,135.6481,130.3265,1437648330.0938,471202218.0000
2021-03-29,132.54,133.34,129.77,131.27,131.27,9750057,0.0000,1.0,130.6393,132.5638,45.0999,57.3329,39.4011,-3.4517,0.7396,-2.7121,19.3251,19.5430,25.0000,5.0000,124.7050,136.5736,130.6393,1437925695.7627,478299516.0000
2021-03-26,127.06,133.35,127.04,132.99,132.99,11071560,0.0000,1.0,131.0161,132.7000,46.5261,34.5955,34.6730,-3.6366,0.6995,-2.9371,19.7466,-1.0446,30.0000,10.0000,124.0949,137.9373,131.0161,1439482427.5526,488049573.0000
2021-03-25,126.66,127.6384,124.39,127.28,127.28,10460762,0.0000,1.0,131.1426,132.6695,40.6025,26.2750,40.6897,-3.8115,0.4548,-3.3567,20.1902,-123.3956,35.0000,0.0000,123.9929,138.2924,131.1426,1429674183.4322,476978013.0000
2021-03-24,132.99,133.06,127.11,127.18,127.18,10962260,0.0000,1.0,131.5218,133.2368,40.4929,43.1484,46.6568,-3.9252,0.6631,-3.2620,19.8547,-68.4061,40.0000,0.0000,124.4275,138.6162,131.5218,1421521719.1177,466517251.0000
2021-03-23,134.0,134.355,131.4119,132.52,132.52,7425650,0.0000,1.0,132.1832,133.8744,44.6777,52.6456,47.2696,-4.0909,1.0073,-3.0836,19.7568,9.2820,45.0000,5.0000,124.3987,139.9677,132.1832,1432226043.5883,477479511.0000
2021-03-22,132.96,135.55,132.595,134.09,134.09,9036884,0.0000,1.0,132.3795,134.0170,46.0057,44.1763,50.0265,-4.3428,0.9880,-3.3547,20.1078,33.9517,50.0000,0.0000,124.3760,140.3830,132.3795,1434060063.8340,484905161.0000
2021-03-19,129.79,132.48,129.17,131.02,131.02,17599879,0.0000,1.0,132.6137,134.0093,42.8501,44.9867,61.1791,-4.5898,0.7780,-3.8118,20.6129,-38.4123,55.0000,0.0000,124.1620,141.0655,132.6137,1433953027.9829,475868277.0000
2021-03-18,132.44,133.6,129.66,129.75,129.75,9587535,0.0000,1.0,133.2741,134.3239,41.5066,60.9164,70.8669,-4.7843,0.7571,-4.0272,20.6860,-43.1060,60.0000,5.0000,123.4681,143.0801,133.2741,1431879326.2276,458268398.0000
2021-03-17,131.31,135.6,129.68,133.92,133.92,10781520,0.0000,1.0,133.9468,134.8054,44.7911,77.6342,76.1621,-4.9735,0.8593,-4.1143,20.8144,-16.1799,65.0000,0.0000,123.3836,144.5099,133.9468,1441028852.0144,467855933.0000
2021-03-16,132.89,135.44,132.293,133.65,133.65,10434701,0.0000,1.0,134.4527,134.8986,44.5211,74.0501,72.1833,-5.1884,0.5983,-4.5901,20.9516,-12.2382,70.0000,0.0000,123.0104,145.8950,134.4527,1436366573.0954,457074413.0000
2021-03-15,130.06,131.76,129.12,131.64,131.64,7810042,0.0000,1.0,135.0921,135.0300,42.5332,76.8020,66.9774,-5.3379,0.2348,-5.1032,21.3624,-57.4139,75.0000,0.0000,122.5268,147.6574,135.0921,1437802297.7643,446639712.0000
2021-03-12,129.9,130.33,127.62,129.98,129.98,9365665,0.0000,1.0,135.8727,135.3869,40.8709,65.6978,51.5111,-5.3966,-0.0825,-5.4792,21.2573,-83.2930,80.0000,5.0000,122.3581,149.3873,135.8727,1430702259.5825,438829670.0000
2021-03-11,131.01,133.24,130.01,131.74,131.74,11920179,0.0000,1.0,136.6160,135.9560,42.0974,58.4323,38.3588,-5.3760,-0.3344,-5.7103,20.9229,-63.3242,85.0000,10.0000,122.8468,150.3851,136.6160,1423755770.0438,448195335.0000
2021-03-10,130.67,131.1,127.64,127.87,127.87,12492295,0.0000,1.0,137.2682,136.3998,38.2250,30.4033,23.5294,-5.2924,-0.8092,-6.1016,20.7915,-103.1916,90.0000,15.0000,123.2511,151.2854,137.2682,1422906964.7280,436275156.0000
2021-03-09,127.385,129.92,126.33,129.11,129.11,13130246,0.0000,1.0,138.1443,137.2977,39.0193,26.2409,18.0559,-5.0901,-1.0280,-6.1181,20.3168,-119.1072,95.0000,20.0000,124.3987,151.8900,138.1443,1433738434.3812,448767451.0000
2021-03-08,129.0,129.7713,122.99,123.2,123.2,15256055,0.0000,1.0,139.0216,138.1595,32.6857,13.9440,14.5328,-4.8331,-1.3434,-6.1765,19.6266,-170.6368,100.0000,25.0000,125.4558,152.5874,139.0216,1426533257.6068,435637205.0000
2021-03-05,130.92,131.166,125.4,129.75,129.75,13292042,0.0000,1.0,140.1178,139.7342,36.6989,13.9829,22.3773,-4.4973,-1.0622,-5.5594,18.8765,-154.1539,100.0000,0.0000,128.4299,151.8057,140.1178,1440844428.4253,450893260.0000
2021-03-04,132.35,134.2,126.58,127.8,127.8,15831073,0.0000,1.0,140.9925,140.7852,34.4216,15.6715,32.0625,-4.2317,-1.1262,-5.3579,18.2762,-166.9696,100.0000,0.0000,129.9380,152.0470,140.9925,1434080839.9362,437601218.0000
2021-03-03,135.6,136.1801,131.54,131.66,131.66,14862729,0.6500,1.0,142.6776,142.1521,36.9192,37.4775,38.2339,-3.9502,-0.8740,-4.8241,17.7395,-134.8341,100.0000,5.0000,130.0218,155.3334,142.6776,1444842645.4664,453432291.0000
2021-03-02,140.0,140.1,136.77,137.04,136.366762905,8693234,0.0000,1.0,144.2931,143.2565,40.3072,43.0385,35.2971,-3.7317,-0.7341,-4.4658,17.6097,-93.4314,75.0000,10.0000,129.5918,158.9944,144.2931,1458936629.1894,468295020.0000
2021-03-01,137.5,139.63,136.46,139.49,138.804726778,9428359,0.0000,1.0,145.5141,143.9817,42.2134,34.1858,30.8897,-3.5482,-0.8744,-4.4226,17.9445,-92.9332,80.0000,15.0000,129.6395,161.3887,145.5141,1466220149.5710,476988254.0000
2021-02-26,136.76,138.15,134.7,136.19,135.520938705,11688533,0.0000,1.0,146.3495,144.5267,38.4913,28.6671,28.7679,-3.3296,-1.2219,-4.5514,18.2322,-123.2864,85.0000,20.0000,130.2187,162.4803,146.3495,1457624579.3768,467559895.0000
2021-02-25,139.56,140.83,135.02,135.53,134.86418109,12612455,0.0000,1.0,147.3127,145.4747,37.7292,29.8163,24.6067,-3.0241,-1.2912,-4.3153,18.3324,-122.4171,90.0000,25.0000,131.5878,163.0377,147.3127,1459216930.2470,455871362.0000
2021-02-24,136.4,141.18,135.0924,141.1,140.406817323,13146248,0.0000,1.0,148.2153,146.5916,41.8903,27.8202,18.9213,-2.7013,-1.1830,-3.8843,18.4690,-107.3531,95.0000,30.0000,133.4065,163.0240,148.2153,1469615150.4597,468483817.0000
