,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD_Hist,MACD,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-03,248.91,249.83,243.98,244.81,244.81,480100,0.0000,1.0,254.8025,251.1448,46.1329,23.2162,36.7405,1.5112,-1.4034,0.1078,9.5018,-127.7964,35.0000,100.0000,254.8025,244.2777,265.3273,429275269.2236,157377817.0000
2021-04-30,250.38,252.47,246.0,247.06,247.06,718896,0.0000,1.0,255.5675,251.8116,47.5131,36.7526,50.8544,1.8620,-1.1170,0.7450,9.6762,-109.0720,40.0000,100.0000,255.5675,245.8673,265.2677,429619135.7193,157857917.0000
2021-04-29,254.39,254.94,249.58,252.51,252.51,551386,0.0000,1.0,255.9260,252.3118,51.0261,50.2529,59.7224,2.1413,-0.8229,1.3184,10.0181,-57.2456,45.0000,0.0000,255.9260,247.0118,264.8402,430102473.8337,158576813.0000
2021-04-28,250.1,252.5899,247.41,251.37,251.37,720872,0.0000,1.0,255.6895,252.2909,50.2958,65.5577,59.7886,2.3470,-0.8708,1.4762,10.4218,-77.6762,50.0000,0.0000,255.6895,246.1934,265.1856,430051038.5725,158025427.0000
2021-04-27,254.73,256.86,249.03,251.7,251.7,1049190,0.0000,1.0,255.1010,252.3879,50.5029,63.3567,47.1908,2.5647,-0.7925,1.7722,10.9042,-31.2628,55.0000,5.0000,255.1010,243.4034,266.7986,429669706.6226,158746299.0000
2021-04-26,252.64,256.94,249.915,256.88,256.88,803208,0.0000,1.0,254.5390,252.4603,53.8068,50.4515,32.6522,2.7628,-0.6722,2.0906,11.4155,3.9589,60.0000,0.0000,254.5390,241.2676,267.8104,430003357.0824,159795489.0000
2021-04-23,249.11,252.31,248.51,251.45,251.45,658899,0.0000,1.0,253.8325,251.9950,50.5877,27.7642,23.2694,2.9308,-0.9917,1.9392,11.8844,-27.8924,65.0000,0.0000,253.8325,239.6610,268.0040,429213869.3614,158992281.0000
2021-04-22,250.72,251.865,246.42,248.21,248.21,624247,0.0000,1.0,252.8435,252.0524,48.5556,19.7410,23.6718,3.1787,-0.9082,2.2706,12.2867,-31.7462,70.0000,5.0000,252.8435,235.6965,269.9905,428853208.8561,158333382.0000
2021-04-21,250.07,253.46,250.0,252.56,252.56,729754,0.0000,1.0,252.0855,252.4569,51.2436,22.3030,32.7125,3.4058,-0.4153,2.9905,12.6753,2.2306,75.0000,10.0000,252.0855,232.9600,271.2110,429067023.4852,158957629.0000
2021-04-20,249.59,252.29,247.67,250.17,250.17,621215,0.0000,1.0,251.2140,252.4460,49.7928,28.9716,41.1512,3.5096,-0.0867,3.4229,13.3401,-6.2553,80.0000,15.0000,251.2140,230.7152,271.7128,428716910.2944,158227875.0000
2021-04-19,258.62,258.855,247.4,250.64,250.64,1121658,0.0000,1.0,250.4270,252.6856,50.0712,46.8629,50.6088,3.5313,0.6370,4.1683,13.9550,14.1099,85.0000,0.0000,250.4270,228.6590,272.1950,428665814.6883,158849090.0000
2021-04-16,261.89,262.02,257.71,260.77,260.77,639569,0.0000,1.0,249.2880,252.9009,56.5428,47.6190,50.7097,3.3720,1.6393,5.0113,14.6022,65.8542,90.0000,5.0000,249.2880,225.4029,273.1731,429152959.9131,159970748.0000
2021-04-15,262.32,263.85,260.09,262.13,262.13,904831,0.0000,1.0,247.6190,252.0726,57.4905,57.3443,57.4050,2.9622,2.0208,4.9830,14.6970,82.7163,95.0000,10.0000,247.6190,222.5412,272.6968,428884370.6115,160610317.0000
2021-04-14,262.1,264.31,257.63,258.59,258.59,713658,0.0000,1.0,246.2930,251.0139,55.6525,47.1656,61.0743,2.4570,2.2788,4.7359,14.5991,81.3780,100.0000,15.0000,246.2930,221.6234,270.9626,428807363.7179,159705486.0000
2021-04-13,261.1,263.7,259.55,261.93,261.93,704497,0.0000,1.0,245.0660,250.2165,57.8963,67.7051,72.3211,1.8873,2.8247,4.7120,14.4959,99.9724,100.0000,20.0000,245.0660,220.5241,269.6079,429315898.4604,160419144.0000
2021-04-12,259.66,260.325,257.03,258.05,258.05,880955,0.0000,1.0,243.7130,248.9835,55.9356,68.3521,76.9790,1.1812,3.0918,4.2729,14.2349,93.8158,90.0000,25.0000,243.7130,220.0721,267.3539,429212345.8893,159714647.0000
2021-04-09,259.85,262.58,258.34,261.85,261.85,579669,0.0000,1.0,242.2830,248.0291,58.4689,80.9060,83.2362,0.4082,3.6372,4.0454,14.1437,123.6530,95.0000,30.0000,242.2830,218.8247,265.7413,429547884.1367,160595602.0000
2021-04-08,261.2,263.33,258.84,261.01,261.01,1080596,0.0000,1.0,240.9035,246.5742,58.0701,81.6790,86.5754,-0.5011,3.8103,3.3093,13.9486,149.3708,100.0000,35.0000,240.9035,219.0179,262.7891,429167818.1414,160015933.0000
2021-04-07,257.62,257.66,254.6,257.0,257.0,582245,0.0000,1.0,239.2950,245.0547,56.1611,87.1236,90.5449,-1.4537,3.8607,2.4071,13.7066,145.0426,95.0000,40.0000,239.2950,218.8773,259.7127,429203918.2305,158935337.0000
2021-04-06,260.54,261.5,256.68,257.36,257.36,729875,0.0000,1.0,237.8650,243.7973,56.3800,90.9237,90.3901,-2.4188,4.0477,1.6288,13.7438,197.8746,100.0000,0.0000,237.8650,218.6361,257.0939,428872837.7403,159517582.0000
