,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-05-06,680.76,681.02,650.0,663.54,663.54,27630259,0.0000,1.0,709.7885,694.9940,45.2310,23.7067,29.5550,2.1093,-4.9909,-7.1002,13.3818,-127.7174,100.0000,20.0000,653.8720,709.7885,765.7050,3460509233.9960,5119748033.0000
2021-05-05,681.06,685.2955,667.34,670.94,670.94,21901894,0.0000,1.0,710.8015,698.3050,46.1319,27.6206,32.2096,3.8843,-2.5989,-6.4832,13.2814,-106.6232,95.0000,25.0000,657.6052,710.8015,763.9978,3464018686.6221,5147378292.0000
2021-05-04,678.94,683.4464,657.701,673.6,673.6,29739319,0.0000,1.0,710.8030,701.1855,46.4478,37.3377,30.1046,5.5051,-0.2616,-5.7667,13.4241,-116.3776,100.0000,30.0000,657.6112,710.8030,763.9948,3477138110.8050,5169280186.0000
2021-05-03,703.8,706.0,680.5,684.9,684.9,27043143,0.0000,1.0,711.7040,704.0892,47.7679,31.6703,20.3181,6.9468,2.4547,-4.4920,13.5413,-64.9908,95.0000,35.0000,660.4897,711.7040,762.9183,3470146562.7157,5199019505.0000
2021-04-30,667.59,715.47,666.14,709.44,709.44,40758722,0.0000,1.0,712.0115,706.1091,50.7432,21.3058,19.2610,8.0698,4.7355,-3.3343,13.9977,-45.5460,0.0000,40.0000,661.3740,712.0115,762.6490,3487857170.0921,5226062648.0000
2021-04-29,699.51,702.25,668.5002,677.0,677.0,28845449,0.0000,1.0,709.6270,705.7585,46.5632,7.9782,28.2525,8.9033,5.0790,-3.8243,14.4781,-82.1305,0.0000,45.0000,654.4425,709.6270,764.8115,3457062976.5195,5185303926.0000
2021-04-28,696.41,708.5,693.6,694.4,694.4,22271047,0.0000,1.0,709.1735,708.7857,48.6677,28.4989,45.3444,9.8594,8.7466,-1.1128,14.7700,-28.8301,0.0000,50.0000,652.7879,709.1735,765.5591,3471379121.7956,5214149375.0000
2021-04-27,717.96,724.0,703.3501,704.74,704.74,29436995,0.0000,1.0,706.2345,710.3000,49.9420,48.2805,57.6779,10.1376,11.5290,1.3913,15.4372,13.2284,5.0000,55.0000,641.5572,706.2345,770.9118,3491258646.9701,5236420422.0000
2021-04-26,741.0,749.3,732.6053,738.2,738.2,31038502,0.0000,1.0,701.5620,710.8853,54.3138,59.2539,60.0707,9.7898,13.8597,4.0699,16.2130,82.2046,10.0000,60.0000,624.7618,701.5620,778.3622,3516732961.3420,5265857417.0000
2021-04-23,719.8,737.36,715.46,729.4,729.4,28413889,0.0000,1.0,695.5875,708.0100,53.2922,65.4992,56.6556,8.7723,13.2262,4.4539,16.5609,65.2013,15.0000,65.0000,612.7629,695.5875,778.4121,3526968321.3701,5234818915.0000
2021-04-22,741.5,753.77,718.04,719.69,719.69,35590255,0.0000,1.0,691.1370,705.7585,52.1712,55.4590,47.5624,7.6588,13.1212,5.4624,17.0961,77.1981,20.0000,70.0000,606.5120,691.1370,775.7620,3519209643.0039,5206405026.0000
2021-04-21,704.77,744.84,698.0,744.12,744.12,31215514,0.0000,1.0,686.6660,704.2920,55.3462,49.0087,45.3474,6.2932,13.7850,7.4918,17.6183,81.9696,25.0000,75.0000,599.1484,686.6660,774.1836,3551512804.7629,5241995281.0000
2021-04-20,717.42,737.25,710.685,718.99,718.99,35609038,0.0000,1.0,682.5680,700.0996,52.5226,38.2194,48.6981,4.4203,11.9444,7.5241,18.2889,78.8687,30.0000,80.0000,598.5914,682.5680,766.5446,3521256947.8970,5210779767.0000
2021-04-19,719.6,725.4,691.8001,714.63,714.63,39686226,0.0000,1.0,680.1185,698.1111,52.0226,48.8142,60.1824,2.5393,11.9799,9.4407,18.8042,64.2943,35.0000,85.0000,597.6907,680.1185,762.5463,3534601121.5575,5175170729.0000
2021-04-16,728.65,749.41,724.6,739.78,739.78,27979526,0.0000,1.0,677.1305,696.3723,55.2090,59.0606,71.4721,0.1791,12.2950,12.1159,19.4988,128.2881,40.0000,90.0000,595.5957,677.1305,758.6653,3520356676.8735,5214856955.0000
2021-04-15,743.1,743.69,721.31,738.85,738.85,27848900,0.0000,1.0,672.7995,691.8030,55.1124,72.6725,75.6100,-2.8499,9.9576,12.8075,19.7260,140.2003,45.0000,95.0000,595.9697,672.7995,749.6293,3514097653.5240,5186877429.0000
2021-04-14,770.7,780.79,728.03,732.23,732.23,49017434,0.0000,1.0,670.9475,686.8507,54.4482,82.6831,69.7368,-6.0518,6.9241,12.9759,20.0332,188.9761,50.0000,100.0000,598.9413,670.9475,742.9537,3498294211.6116,5159028529.0000
2021-04-13,712.7,763.0,710.66,762.32,762.32,44652808,0.0000,1.0,668.1800,682.0740,58.1647,71.4745,55.2116,-9.2958,3.6256,12.9214,20.2528,214.4130,55.0000,100.0000,601.7708,668.1800,734.5892,3539507505.2477,5208045963.0000
2021-04-12,685.7,704.8,682.09,701.98,701.98,29135670,0.0000,1.0,665.4610,673.6270,51.9115,55.0528,51.4352,-12.5261,-3.7010,8.8251,20.6856,93.0869,60.0000,5.0000,611.3841,665.4610,719.5379,3496014953.6267,5163393155.0000
2021-04-09,677.77,680.97,669.43,677.02,677.02,21437087,0.0000,1.0,665.0485,670.6425,48.9106,39.1074,57.0631,-14.7324,-6.8548,7.8776,21.6442,34.5346,65.0000,10.0000,611.9756,665.0485,718.1214,3474115090.7073,5134257485.0000
2021-04-08,677.38,689.5499,671.645,683.8,683.8,23924329,0.0000,1.0,666.1775,669.9712,49.7112,60.1453,70.8087,-16.7018,-8.2392,8.4626,22.2838,48.2297,70.0000,0.0000,611.2072,666.1775,721.1478,3467353305.8997,5155694572.0000
2021-04-07,687.0,691.38,667.84,670.97,670.97,26309433,0.0000,1.0,665.3905,668.5155,48.1867,71.9367,78.5520,-18.8174,-10.5766,8.2408,22.9860,33.9924,75.0000,5.0000,611.0044,665.3905,719.7766,3458794882.2460,5131770243.0000
2021-04-06,690.3,696.55,681.37,691.62,691.62,28271839,0.0000,1.0,665.5210,668.2571,50.5288,80.3441,79.3129,-20.8776,-12.0998,8.7778,23.7252,75.1850,0.0000,10.0000,611.0694,665.5210,719.9726,3478107839.0106,5158079676.0000
2021-04-05,707.71,708.16,684.7,691.05,691.05,41842767,0.0000,1.0,659.0900,665.7979,50.4657,83.3752,71.5954,-23.0721,-15.9706,7.1015,24.6696,90.6419,0.0000,15.0000,590.0580,659.0900,728.1220,3468199658.2807,5129807837.0000
2021-04-01,688.37,692.4203,659.42,661.75,661.75,35298378,0.0000,1.0,654.4350,663.1398,47.1735,74.2195,54.4115,-24.8474,-20.6207,4.2267,25.7044,41.8810,5.0000,20.0000,582.1711,654.4350,726.6989,3487390969.9994,5087965070.0000
2021-03-31,646.62,672.0,641.11,667.93,667.93,33337288,0.0000,1.0,652.4195,663.2860,47.8102,57.1914,37.6516,-25.9041,-23.2728,2.6313,26.5828,21.4258,10.0000,25.0000,578.8474,652.4195,725.9916,3517704834.4804,5123263448.0000
2021-03-30,601.75,637.66,591.01,635.62,635.62,39432359,0.0000,1.0,651.6830,662.7972,44.0601,31.8235,25.3301,-26.5619,-26.9485,-0.3866,27.2242,-67.5747,15.0000,0.0000,578.4526,651.6830,724.9134,3493152445.2930,5089926160.0000
2021-03-29,615.64,616.48,596.02,611.29,611.29,28636985,0.0000,1.0,654.2240,665.6580,41.0288,23.9398,24.6403,-26.4653,-27.9584,-1.4931,27.3842,-105.0844,20.0000,5.0000,579.8810,654.2240,728.5670,3457168832.8036,5050493801.0000
2021-03-26,641.87,643.82,599.89,618.71,618.71,33852827,0.0000,1.0,659.5810,671.3809,41.6832,20.2269,28.8230,-26.0920,-26.3634,-0.2713,27.2076,-89.7492,25.0000,10.0000,582.9788,659.5810,736.1832,3443060288.8740,5079130786.0000
2021-03-25,613.0,645.5,609.5,640.39,640.39,39224850,0.0000,1.0,662.4205,676.9252,43.6141,29.7542,37.2016,-26.0242,-24.6996,1.3246,27.0554,-76.3204,30.0000,0.0000,587.9071,662.4205,736.9339,3447907415.7082,5112983613.0000
2021-03-24,667.91,668.02,630.11,630.27,630.27,33795174,0.0000,1.0,664.5120,680.7710,42.4315,36.4879,37.5162,-26.3553,-24.4242,1.9311,26.9772,-59.5490,35.0000,0.0000,590.2417,664.5120,738.7823,3419818064.7916,5073758763.0000
2021-03-23,675.77,677.8,657.51,662.16,662.16,30491870,0.0000,1.0,670.0995,686.0869,45.2741,45.3627,38.6121,-26.8381,-22.6871,4.1510,27.0739,-11.7379,40.0000,5.0000,590.3612,670.0995,749.8378,3453327972.2213,5107553937.0000
