,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-05-06,181.93,184.84,179.95,184.27,184.27,4514094,0.0000,1.0,186.3945,184.4200,51.0696,65.1374,40.4365,-0.6404,-1.0616,0.4212,13.6000,-55.2557,90.0000,0.0000,186.3945,177.4062,195.3828,868632556.1469,895817063.0000
2021-05-05,181.01,183.175,179.475,181.65,181.65,5257339,0.0000,1.0,186.8861,184.4358,48.6996,36.8133,26.2416,-0.7540,-1.4405,0.6866,14.1961,-88.5366,95.0000,5.0000,186.8861,177.3570,196.4153,865170827.6193,891302969.0000
2021-05-04,178.26,179.25,175.53,179.03,179.03,5222294,0.0000,1.0,187.4039,184.7290,46.2253,19.3588,22.1151,-0.6212,-1.6679,1.0467,14.6230,-158.9767,100.0000,0.0000,187.4039,177.9440,196.8638,864247241.0382,886045630.0000
2021-05-03,181.49,181.7999,177.56,178.795,178.795,5136070,0.0000,1.0,188.1272,185.3289,46.0034,22.5527,30.2572,-0.1758,-1.6395,1.4637,14.5640,-157.1862,100.0000,0.0000,188.1272,179.1385,197.1159,859642637.7264,880823336.0000
2021-04-30,182.18,182.8956,179.13,180.51,180.51,6193598,1.0200,1.0,188.9786,186.0167,47.3584,24.4338,42.1233,0.4190,-1.4546,1.8736,14.7096,-155.4704,90.0000,5.0000,188.9786,180.4742,197.4831,861786634.1162,885959406.0000
2021-04-29,183.63,186.05,182.65,185.82,184.775894893,4547337,0.0000,1.0,189.5022,186.5964,50.9011,43.7851,59.1424,0.9976,-1.2397,2.2372,15.0282,-123.9167,95.0000,10.0000,189.5022,181.9070,197.0974,863440628.7382,892153004.0000
2021-04-28,181.64,184.0,180.0,181.82,180.798370517,9434237,0.0000,1.0,189.6598,186.7880,47.4168,58.1510,63.5102,1.2871,-1.2600,2.5471,15.6369,-206.6363,100.0000,15.0000,189.6598,182.3375,196.9821,859508519.6862,887605667.0000
2021-04-27,191.055,192.51,189.78,190.21,189.141227896,3864051,0.0000,1.0,189.8646,187.4185,55.2262,75.4911,58.0204,2.0430,-0.8191,2.8621,16.0261,-0.8499,0.0000,20.0000,189.8646,183.3621,196.3672,860357601.0166,897039904.0000
2021-04-26,188.86,192.18,187.885,191.36,190.284766154,3842256,0.0000,1.0,189.6643,187.2372,56.4365,56.8885,40.4017,2.1286,-0.9383,3.0669,16.0253,-3.3862,0.0000,25.0000,189.6643,182.8456,196.4829,863004405.1824,900903955.0000
2021-04-23,187.02,190.01,186.51,188.82,187.759038176,3512433,0.0000,1.0,189.5072,186.9164,54.3367,41.6817,27.8441,2.0904,-1.2110,3.3015,16.0623,-40.4023,0.0000,30.0000,189.5072,182.6086,196.4057,860629273.7087,897061699.0000
2021-04-22,186.66,188.79,184.77,185.8,184.756007272,3853113,0.0000,1.0,188.9936,186.8277,51.7074,22.6349,21.0895,2.2685,-1.3357,3.6042,16.3528,-59.4375,5.0000,35.0000,188.9936,180.3437,197.6434,859505295.1469,893549266.0000
2021-04-21,187.9,189.14,184.96,188.9,187.838588663,4796529,0.0000,1.0,188.6505,187.0457,54.7834,19.2156,26.6930,2.7686,-1.1696,3.9382,16.8050,-29.2660,10.0000,40.0000,188.6505,178.8835,198.4175,861383927.3556,897402379.0000
2021-04-20,186.98,186.98,184.28,185.27,184.228985292,4258954,0.0000,1.0,188.1473,186.9623,51.5790,21.4178,35.0391,3.0527,-1.1779,4.2306,17.2549,-52.4251,15.0000,45.0000,188.1473,177.2890,199.0057,857138195.9451,892605850.0000
2021-04-19,190.3454,191.1,186.72,187.06,186.00892745,5334947,0.0000,1.0,187.8903,187.2500,53.3502,39.4455,39.6261,3.7384,-0.7866,4.5251,17.9820,-6.5908,0.0000,50.0000,187.8903,176.4455,199.3351,858273917.0111,896864804.0000
2021-04-16,193.66,194.78,191.64,191.93,190.851563378,5792918,0.0000,1.0,187.3394,187.3806,58.5464,44.2540,33.3490,4.3781,-0.3437,4.7217,18.4222,55.6686,5.0000,55.0000,187.3394,174.5982,200.0806,862780607.3991,902199751.0000
2021-04-15,191.93,193.53,190.82,193.17,192.084595935,4471900,0.0000,1.0,186.4658,187.0152,59.9590,35.1787,30.5731,4.6377,-0.1699,4.8076,18.1399,57.6584,10.0000,60.0000,186.4658,172.4733,200.4584,867503495.9606,907992669.0000
2021-04-14,190.46,191.5,189.01,190.33,189.260553628,3555152,0.0000,1.0,185.7787,186.4816,57.7404,20.6143,35.8376,4.7762,-0.0739,4.8501,17.9718,39.7011,15.0000,65.0000,185.7787,171.6088,199.9486,864219702.2312,903520769.0000
2021-04-13,192.14,193.0,189.76,191.24,190.165440423,4009373,0.0000,1.0,185.1229,186.1891,58.7310,35.9263,50.3511,5.1710,0.3024,4.8686,18.0114,55.6309,0.0000,70.0000,185.1229,170.4531,199.7928,864005536.4468,907075921.0000
2021-04-12,192.6406,194.72,191.34,192.43,191.348753925,4505091,0.0000,1.0,184.3110,185.7705,60.0099,50.9722,61.1328,5.5075,0.7145,4.7930,17.9377,76.1458,0.0000,75.0000,184.3110,169.0614,199.5607,864352025.4723,911085294.0000
2021-04-09,193.31,195.56,192.74,195.43,194.331897207,3127318,0.0000,1.0,183.3733,185.1834,63.3117,64.1550,69.8753,5.7364,1.1220,4.6144,17.6159,100.2749,5.0000,80.0000,183.3733,167.6704,199.0763,865951466.0628,915590385.0000
2021-04-08,196.09,196.09,193.35,195.2,194.103189555,3157403,0.0000,1.0,182.3551,184.2204,63.1641,68.2713,78.3950,5.6414,1.3076,4.3339,17.0564,115.1399,0.0000,85.0000,182.3551,166.9891,197.7210,863112482.3460,912463067.0000
2021-04-07,194.46,194.4899,191.51,193.09,192.005045447,3678962,0.0000,1.0,181.0733,183.1801,61.8255,77.1997,87.1345,5.4614,1.4545,4.0070,16.3716,112.4496,0.0000,90.0000,181.0733,165.5650,196.5816,862006238.9596,909305664.0000
2021-04-06,194.22,196.84,193.04,194.59,193.496617088,3506904,0.0000,1.0,179.9432,182.2511,63.3810,89.7139,91.2667,5.3659,1.7225,3.6434,15.7858,148.9058,0.0000,95.0000,179.9432,164.4920,195.3944,861783888.8620,912984626.0000
2021-04-05,194.0,197.58,193.63,196.93,195.823468848,4323937,0.0000,1.0,178.3283,181.0674,65.8359,94.4900,89.5941,5.0140,1.8013,3.2127,14.9379,185.5287,5.0000,100.0000,178.3283,162.1470,194.5097,862429897.4936,916491530.0000
2021-04-01,191.11,192.54,190.02,192.06,190.98083292,4581397,0.0000,1.0,176.8870,179.5141,63.0027,89.5961,86.8084,4.2550,1.4926,2.7624,13.9565,165.1283,0.0000,100.0000,176.8870,162.1224,191.6516,859529028.3669,912167593.0000
2021-03-31,187.6,190.45,186.53,188.99,187.928082961,5427730,0.0000,1.0,175.4546,178.3071,61.0693,84.6961,83.2500,3.7175,1.3282,2.3893,13.3283,150.6034,5.0000,100.0000,175.4546,160.8798,190.0293,856692925.4617,907586196.0000
2021-03-30,188.51,188.51,184.62,185.94,184.895220625,4458700,0.0000,1.0,174.5397,177.2944,59.0495,86.1332,79.1892,3.2881,1.2309,2.0572,12.8534,143.8769,10.0000,90.0000,174.5397,160.9478,188.1317,855308300.4632,902158466.0000
2021-03-29,184.85,187.7,183.74,186.18,185.133872087,4983805,0.0000,1.0,173.9903,176.4943,59.2794,78.9207,70.9806,3.0011,1.2516,1.7495,12.5332,160.0364,15.0000,95.0000,173.9903,161.2559,186.7248,856741044.6788,906617166.0000
2021-03-26,177.76,188.87,177.0104,188.2,187.142521897,6363526,0.0000,1.0,173.5672,175.5848,61.1842,72.5138,67.8215,2.5668,1.1302,1.4366,12.2721,165.6629,20.0000,100.0000,173.5672,161.8177,185.3168,855583190.9925,911600971.0000
2021-03-25,177.53,179.45,173.75,178.49,177.487081474,4878534,0.0000,1.0,172.7752,174.3682,54.5093,61.5074,65.3680,1.7706,0.6166,1.1540,11.9972,59.9037,25.0000,95.0000,172.7752,162.7896,182.7608,849938671.1006,905237445.0000
2021-03-24,179.99,182.69,178.78,178.9,177.894777723,5056100,0.0000,1.0,172.3794,174.0399,54.8879,69.4433,63.8907,1.7117,0.7119,0.9999,12.5544,117.6754,30.0000,100.0000,172.3794,162.5460,182.2129,846703432.7633,910115979.0000
2021-03-23,181.91,182.57,177.71,178.78,177.775451991,4688580,0.0000,1.0,172.4038,173.6342,54.8006,65.1535,60.7025,1.5702,0.7483,0.8219,12.6069,118.0973,35.0000,100.0000,172.4038,162.5136,182.2940,851449183.9124,905059879.0000
2021-03-22,178.29,181.69,177.75,180.1,179.088035036,4476247,0.0000,1.0,172.1090,173.1982,55.9316,57.0753,62.5335,1.3788,0.7440,0.6348,12.6760,137.7204,40.0000,100.0000,172.1090,162.5302,181.6878,854073245.1481,909748459.0000
2021-03-19,175.69,178.0499,172.45,175.98,174.991184928,8447253,0.0000,1.0,171.7604,172.5783,53.0590,59.8788,73.0876,0.9808,0.5320,0.4488,12.8481,59.8990,45.0000,90.0000,171.7604,162.7313,180.7896,853209806.6398,905272212.0000
2021-03-18,176.16,179.77,174.24,174.36,173.380287556,4214415,0.0000,1.0,171.8783,172.3243,51.8874,70.6463,82.0537,0.8758,0.5600,0.3158,13.4642,68.1354,50.0000,95.0000,171.8783,162.6248,181.1318,851007296.9341,896824959.0000
2021-03-17,175.44,180.18,174.42,179.35,178.342249215,4004804,0.0000,1.0,171.9852,172.2131,55.9754,88.7375,88.8616,0.8929,0.7171,0.1758,13.8757,107.4212,55.0000,0.0000,171.9852,162.6161,181.3543,855038807.8463,901039374.0000
2021-03-16,176.25,178.81,175.83,177.14,176.144666997,4132604,0.0000,1.0,171.9444,171.5679,54.4660,86.7771,86.9518,0.3966,0.4001,-0.0035,14.2852,91.2786,60.0000,0.0000,171.9444,162.6798,181.2090,852188166.1100,897034570.0000
2021-03-15,173.47,175.09,171.76,174.91,173.927197157,3876751,0.0000,1.0,172.1244,171.0862,52.9187,91.0702,83.1368,-0.0188,0.0847,-0.1035,14.5329,17.1307,65.0000,5.0000,172.1244,162.4114,181.8374,852687406.8619,892901966.0000
2021-03-12,173.02,174.1,170.745,173.57,172.594726491,3514616,0.0000,1.0,172.3596,170.7871,51.9873,83.0081,67.6077,-0.3231,-0.1984,-0.1247,15.2203,-9.5221,70.0000,10.0000,172.3596,162.2631,182.4560,849229764.0783,889025215.0000
2021-03-11,172.51,175.6,172.47,174.95,173.966972401,5002903,0.0000,1.0,172.6405,170.5968,53.0134,75.3322,51.4686,-0.5710,-0.4959,-0.0751,15.9787,13.4225,75.0000,15.0000,172.6405,162.2259,183.0550,846825578.1712,892539831.0000
2021-03-10,171.65,173.0,169.31,169.42,168.468044951,4270661,0.0000,1.0,172.6111,170.2421,49.1963,44.4827,32.0511,-1.0189,-1.0678,0.0489,16.6540,-53.1697,80.0000,20.0000,172.6111,162.2084,183.0139,843900558.2062,887536928.0000
2021-03-09,167.17,171.85,166.29,170.36,169.40276318,7610263,0.0000,1.0,172.8234,170.4288,49.8502,34.5911,24.3422,-1.0158,-1.3317,0.3159,17.3872,-78.6586,85.0000,25.0000,172.8234,162.5957,183.0511,847916599.8520,891807589.0000
2021-03-08,166.39,168.27,161.77,162.11,161.199119154,6065421,0.0000,1.0,173.0601,170.5368,43.5992,17.0795,21.6425,-1.0923,-1.7411,0.6488,18.0177,-197.3407,90.0000,30.0000,173.0601,162.9415,183.1787,844385218.8192,884197326.0000
2021-03-05,167.5379,168.83,162.03,167.94,166.996360932,5681162,0.0000,1.0,173.4489,171.5197,47.5808,21.3561,32.7346,-0.3388,-1.4229,1.0841,18.2167,-178.3756,95.0000,35.0000,173.4489,164.6749,182.2229,849816103.4684,890262747.0000
