,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Up,Aroon Down,Real Upper Band,Real Middle Band,Real Lower Band,Chaikin A/D,OBV
2021-05-06,121.81,122.7,119.83,122.14,122.14,1556066,0.0000,1.0,127.1510,126.6651,44.8062,9.0557,13.7188,0.0660,-0.7917,-0.8577,11.9527,-121.2934,70.0000,100.0000,134.7938,127.1510,119.5082,69413643.3052,-84622872.0000
2021-05-05,123.64,124.54,121.18,122.03,122.03,2478398,0.0000,1.0,127.6825,127.1414,44.6933,10.7496,7.8381,0.2804,-0.4531,-0.7335,12.0506,-112.9223,75.0000,95.0000,135.3359,127.6825,120.0291,68464822.5735,-86178938.0000
2021-05-04,122.11,123.22,120.66,123.06,123.06,4140103,0.0000,1.0,128.1650,127.6795,45.5218,20.0942,5.6101,0.4638,-0.0031,-0.4669,12.2961,-132.5785,80.0000,100.0000,135.5440,128.1650,120.7860,69689269.2044,-83700540.0000
2021-05-03,128.32,128.635,123.4,123.55,123.55,3766666,0.0000,1.0,128.5320,128.1657,45.9064,38.6723,18.8005,0.5805,0.4665,-0.1141,12.3920,-85.9105,85.0000,65.0000,135.5817,128.5320,121.4823,66066679.0794,-79560437.0000
2021-04-30,130.52,132.28,127.54,127.96,127.96,4901788,0.0000,1.0,128.8910,128.6516,49.4810,57.6627,35.8721,0.6090,1.0091,0.4001,12.7760,3.0112,90.0000,70.0000,135.6130,128.8910,122.1690,69617490.2943,-75793771.0000
2021-04-29,132.33,134.23,130.43,132.47,132.47,2005013,0.0000,1.0,128.9855,128.7244,53.5306,75.5344,61.3442,0.5090,1.2380,0.7290,13.2454,80.0490,95.0000,0.0000,135.7056,128.9855,122.2654,73650607.0032,-70891983.0000
2021-04-28,139.0,139.85,131.315,131.52,131.52,2312272,0.0000,1.0,128.5570,128.3301,52.7569,76.8657,75.7717,0.3268,1.0530,0.7262,13.3746,130.6454,100.0000,0.0000,135.4250,128.5570,121.6890,73502869.2032,-72896996.0000
2021-04-27,134.19,136.43,133.45,133.61,133.61,1898926,0.0000,1.0,127.9960,127.9944,54.6589,67.9469,89.4872,0.1452,0.8982,0.7530,13.3952,144.9721,100.0000,5.0000,135.5980,127.9960,120.3940,75704065.4539,-70584724.0000
2021-04-26,130.0,134.52,129.48,133.96,133.96,1486183,0.0000,1.0,127.4270,127.4032,54.9742,45.1016,65.3382,-0.0430,0.4749,0.5179,13.7760,118.5556,100.0000,0.0000,134.9663,127.4270,119.8877,77399079.9371,-68685798.0000
2021-04-23,124.58,130.18,124.45,129.66,129.66,1779902,0.0000,1.0,126.8860,126.7131,51.7238,34.6315,49.0154,-0.1725,-0.1081,0.0644,14.3911,29.3392,45.0000,0.0000,134.0141,126.8860,119.7579,76243159.8260,-70171981.0000
2021-04-22,127.045,127.16,122.45,123.08,123.08,1739330,0.0000,1.0,126.4045,126.4029,46.0634,31.7878,20.9512,-0.1886,-0.4127,-0.2241,14.7258,-42.6117,50.0000,5.0000,134.0035,126.4045,118.8055,74786311.5922,-71951883.0000
