,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-04-30,131.78,133.56,131.065,131.46,131.46,109839466,0.0000,1.0,132.2533,131.5514,53.0232,29.2373,50.4789,1.9921,-0.2778,2.2698,17.9785,-3.9195,95.0000,0.0000,126.9173,137.5892,132.2533,77195602243.5169,94514990566.0000
2021-04-29,136.47,137.07,132.45,133.48,133.48,151100953,0.0000,1.0,131.8303,131.5610,56.7010,52.1053,66.0028,2.2834,-0.0559,2.3393,18.1803,63.7734,100.0000,0.0000,125.1403,138.5202,131.8303,77270662880.6030,94624830032.0000
2021-04-28,134.31,135.02,133.08,133.58,133.58,107760097,0.0000,1.0,131.2638,131.3590,56.8866,70.0942,67.2313,2.4163,0.0630,2.3533,18.0343,56.0989,70.0000,0.0000,123.4108,139.1167,131.2638,77354389815.5987,94775930985.0000
2021-04-27,135.01,135.41,134.11,134.39,134.39,66015804,0.0000,1.0,130.5798,131.1252,58.3562,75.8089,59.2589,2.5406,0.2031,2.3375,18.2616,71.4769,75.0000,5.0000,121.3846,139.7749,130.5798,77406603470.8461,94883691082.0000
2021-04-26,134.83,135.06,133.56,134.72,134.72,66905069,0.0000,1.0,129.9298,130.7815,58.9456,55.7909,45.6209,2.5798,0.2930,2.2867,18.2272,72.6503,80.0000,10.0000,120.0886,139.7709,129.9298,77444181697.7384,94949706886.0000
2021-04-23,132.16,135.12,132.16,134.32,134.32,78756779,0.0000,1.0,129.2543,130.3670,58.4626,46.1768,46.2509,2.5587,0.3452,2.2135,18.2550,68.6270,85.0000,15.0000,118.9761,139.5324,129.2543,77407606926.6851,94882801817.0000
2021-04-22,133.04,134.15,131.41,131.94,131.94,84566456,0.0000,1.0,128.5678,129.9508,55.5029,34.8949,53.2823,2.5354,0.4082,2.1272,18.2843,55.6514,90.0000,20.0000,117.9077,139.2278,128.5678,77371421379.5770,94804045038.0000
2021-04-21,132.36,133.75,131.3001,133.5,133.5,68847136,0.0000,1.0,127.9753,129.7415,58.0798,57.6810,70.0087,2.7110,0.6859,2.0251,18.4836,65.9693,95.0000,25.0000,116.8248,139.1257,127.9753,77423272345.2996,94888611494.0000
2021-04-20,135.02,135.53,131.81,133.11,133.11,94812349,0.0000,1.0,127.4273,129.3458,57.6124,67.2709,75.8820,2.7369,0.8832,1.8537,18.7632,81.6736,100.0000,30.0000,116.3396,138.5149,127.4273,77368476218.7286,94819764358.0000
2021-04-19,133.51,135.47,133.34,134.84,134.84,94264215,0.0000,1.0,126.9413,128.9496,60.4529,85.0742,80.4261,2.7698,1.1369,1.6329,18.9436,106.3476,100.0000,35.0000,116.0421,137.8404,126.9413,77397021872.1909,94914576707.0000
