,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowK,SlowD,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Down,Aroon Up,Real Middle Band,Real Upper Band,Real Lower Band,Chaikin A/D,OBV
2021-04-30,231.77,233.85,230.51,230.95,230.95,9326397,0.0000,1.0,233.0875,233.3949,46.7321,41.7524,64.7094,0.2696,-0.4411,-0.7107,10.4882,-20.0138,25.0000,35.0000,233.0875,244.1814,221.9936,635442218.7174,868528473.0000
2021-04-29,237.79,238.05,232.6,234.18,234.18,9552775,0.0000,1.0,232.7580,233.6523,48.9518,70.3017,74.8827,0.5454,-0.2327,-0.7781,11.0205,26.5381,30.0000,40.0000,232.7580,244.4610,221.0550,642311361.4180,877854870.0000
2021-04-28,237.57,239.22,236.33,236.72,236.72,9187713,0.0000,1.0,232.3855,233.5967,50.7528,82.0742,67.7654,0.6223,-0.2921,-0.9144,11.4433,62.9617,35.0000,45.0000,232.3855,244.3550,220.4160,646325279.7208,887407645.0000
2021-04-27,233.44,236.93,232.08,235.92,235.92,11646347,0.0000,1.0,232.0120,233.2680,50.2046,72.2721,50.4848,0.4477,-0.6223,-1.0700,11.5596,37.8541,40.0000,50.0000,232.0120,243.8830,220.1410,653033263.9526,878219932.0000
2021-04-26,231.5,233.49,230.82,232.7,232.7,7792876,0.0000,1.0,231.8090,232.9888,47.9911,48.9498,32.0316,0.2287,-0.9533,-1.1820,11.8573,5.8525,0.0000,55.0000,231.8090,243.5438,220.0742,646237560.4454,866573585.0000
2021-04-23,230.65,233.0,230.51,232.08,232.08,8972039,0.0000,1.0,231.5370,233.0192,47.5647,30.2327,20.7483,0.2052,-1.0340,-1.2391,12.4441,3.7990,5.0000,60.0000,231.5370,243.4277,219.6463,643056199.0821,858780709.0000
2021-04-22,228.765,234.0,227.8201,229.35,229.35,11986213,0.0000,1.0,231.0690,233.1181,45.7027,16.9124,15.8446,0.2316,-1.0588,-1.2904,13.0969,-10.6761,10.0000,65.0000,231.0690,243.5591,218.5789,640714100.5480,849808670.0000
2021-04-21,229.33,229.49,226.0701,229.44,229.44,14315893,0.0000,1.0,231.0810,233.5147,45.7536,15.0999,22.5159,0.5512,-0.7971,-1.3483,13.7841,-37.8686,15.0000,70.0000,231.0810,243.5649,218.5971,646765684.4217,861794883.0000
2021-04-20,232.87,234.63,228.4301,229.88,229.88,12093949,0.0000,1.0,231.4925,233.9436,45.9914,15.5214,36.2577,1.0254,-0.4607,-1.4861,14.1560,-9.8409,20.0000,75.0000,231.4925,244.2720,218.7130,632868397.0242,876110776.0000
2021-04-19,237.44,238.42,232.81,234.78,234.78,11216015,0.0000,1.0,231.8545,234.3714,48.6677,36.9263,56.7302,1.6731,-0.0694,-1.7425,14.7160,37.4938,25.0000,80.0000,231.8545,244.8393,218.8697,639305797.8041,888204725.0000
