,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Signal,MACD,MACD_Hist,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
2021-04-30,4.76,4.83,4.63,4.68,4.68,67006412,0.0000,1.0,4.1895,4.2382,67.7118,65.8955,59.8170,0.0511,0.1047,0.0537,31.5019,313.2434,95.0000,0.0000,3.8442,4.1895,4.5348,-1424217090.0570,-204769311.0000
2021-04-29,4.86,4.93,4.55,4.67,4.67,165782300,0.0000,1.0,4.1555,4.1917,67.4957,72.7242,67.7516,0.0376,0.0757,0.0380,30.1336,443.3472,100.0000,0.0000,3.8841,4.1555,4.4269,-1390713884.0570,-271775723.0000
2021-04-28,4.26,4.3,4.19,4.2,4.2,30467290,0.0000,1.0,4.1200,4.1414,53.6412,71.4366,70.1178,0.0281,0.0385,0.0104,28.6932,117.8540,100.0000,0.0000,3.9673,4.1200,4.2727,-1329636194.5834,-437558023.0000
2021-04-27,4.2,4.23,4.17,4.22,4.22,29219020,0.0000,1.0,4.1095,4.1352,54.5817,71.2121,80.3030,0.0255,0.0384,0.0128,28.5497,100.7944,100.0000,5.0000,3.9515,4.1095,4.2675,-1304708411.8561,-407090733.0000
2021-04-26,4.21,4.23,4.17,4.2,4.2,33928842,0.0000,1.0,4.0995,4.1263,53.8124,63.8889,63.8889,0.0223,0.0356,0.0132,28.6487,103.7334,100.0000,10.0000,3.9454,4.0995,4.2536,-1324187758.5228,-436309753.0000
2021-04-23,4.16,4.2,4.12,4.2,4.2,24070920,0.0000,1.0,4.0925,4.1186,53.8124,65.0463,69.4444,0.0190,0.0335,0.0145,28.7529,87.9330,95.0000,0.0000,3.9447,4.0925,4.2403,-1324187758.5228,-436309753.0000
2021-04-22,4.2,4.23,4.16,4.16,4.16,30173596,0.0000,1.0,4.0810,4.1100,52.3557,64.4231,58.3333,0.0154,0.0305,0.0151,28.9689,105.6667,100.0000,5.0000,3.9327,4.0810,4.2293,-1348258678.5228,-460380673.0000
2021-04-21,4.14,4.22,4.13,4.21,4.21,24943524,0.0000,1.0,4.0690,4.1047,54.3928,69.9446,67.3611,0.0116,0.0302,0.0185,28.9592,120.6469,100.0000,10.0000,3.9098,4.0690,4.2282,-1318085082.5228,-430207077.0000
2021-04-20,4.13,4.15,4.11,4.15,4.15,31939946,0.0000,1.0,4.0575,4.0936,52.2760,72.9662,67.5748,0.0070,0.0243,0.0173,28.9812,85.6355,95.0000,15.0000,3.9077,4.0575,4.2073,-1337485601.1894,-455150601.0000
2021-04-19,4.17,4.22,4.15,4.17,4.17,32936812,0.0000,1.0,4.0530,4.0877,53.0558,75.2898,74.8980,0.0027,0.0225,0.0198,29.2341,144.4178,100.0000,20.0000,3.9093,4.0530,4.1967,-1369425547.1894,-423210655.0000
2021-04-16,4.15,4.19,4.13,4.18,4.18,22913743,0.0000,1.0,4.0455,4.0790,53.4344,73.6571,76.4258,-0.0023,0.0178,0.0201,29.2762,154.4876,100.0000,25.0000,3.9117,4.0455,4.1793,-1355309770.6180,-390273843.0000
2021-04-15,4.12,4.17,4.1,4.13,4.13,26112457,0.0000,1.0,4.0320,4.0684,51.8006,73.0892,74.5455,-0.0073,0.0106,0.0179,29.4148,137.7315,0.0000,30.0000,3.9008,4.0320,4.1632,-1370585599.2847,-413187586.0000
2021-04-14,4.13,4.17,4.11,4.13,4.13,28670001,0.0000,1.0,4.0395,4.0619,51.8006,71.2108,70.0000,-0.0118,0.0064,0.0182,29.6230,117.0009,0.0000,35.0000,3.8740,4.0395,4.2050,-1366855248.2847,-413187586.0000
2021-04-13,4.08,4.15,4.06,4.13,4.13,23394671,0.0000,1.0,4.0450,4.0548,51.8006,76.4031,74.7222,-0.0163,0.0008,0.0172,29.7911,70.1443,0.0000,40.0000,3.8615,4.0450,4.2285,-1357298581.2847,-413187586.0000
2021-04-12,4.11,4.13,4.07,4.07,4.07,20165962,0.0000,1.0,4.0535,4.0468,49.9955,77.4420,68.9103,-0.0206,-0.0062,0.0144,30.0258,28.1212,5.0000,45.0000,3.8415,4.0535,4.2655,-1370295620.7291,-436582257.0000
2021-04-09,4.08,4.15,4.07,4.13,4.13,45389610,0.0000,1.0,4.0610,4.0444,51.8399,81.8762,85.5769,-0.0242,-0.0091,0.0151,30.3291,44.5685,10.0000,50.0000,3.8370,4.0610,4.2850,-1350129658.7291,-416416295.0000
2021-04-08,4.08,4.1,4.02,4.06,4.06,20646766,0.0000,1.0,4.0595,4.0354,49.7868,75.1993,77.8388,-0.0280,-0.0187,0.0093,30.6483,-1.2789,15.0000,55.0000,3.8369,4.0595,4.2821,-1372824463.7291,-461805905.0000
2021-04-07,4.03,4.05,4.0,4.05,4.05,30073118,0.0000,1.0,4.0545,4.0328,49.4946,67.4677,82.2129,-0.0303,-0.0235,0.0068,31.1176,-19.5139,20.0000,60.0000,3.8277,4.0545,4.2813,-1372824463.7291,-482452671.0000
2021-04-06,4.02,4.04,3.99,4.0,4.0,24788120,0.0000,1.0,4.0500,4.0310,48.0589,54.3909,65.5462,-0.0321,-0.0283,0.0037,31.7467,-35.2550,25.0000,0.0000,3.8195,4.0500,4.2805,-1402897581.7291,-512525789.0000
