,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Middle Band,Real Lower Band,Real Upper Band,Chaikin A/D,OBV
2021-04-30,606.98,614.5999,599.88,600.38,600.38,5047752,0.0000,1.0,602.8090,596.9577,54.6845,56.7929,37.5256,-2.8415,16.5226,19.3641,17.4936,9.8996,45.0000,0.0000,602.8090,554.0477,651.5703,1041939824.0067,3334980872.0000
2021-04-29,616.0,617.46,602.86,612.99,612.99,4329912,0.0000,1.0,600.4135,596.5974,57.6687,67.8210,59.3891,-1.6036,18.4708,20.0744,17.9832,34.5298,50.0000,0.0000,600.4135,546.9314,653.8956,1046644655.7423,3340028624.0000
2021-04-28,614.58,621.29,608.6207,611.07,611.07,5235405,0.0000,1.0,596.4605,594.8719,57.3319,64.6038,73.4641,-1.0705,19.4048,20.4753,18.4034,46.1855,55.0000,0.0000,596.4605,536.0436,656.8774,1044966073.4190,3335698712.0000
2021-04-27,623.14,626.82,614.18,615.27,615.27,4114325,0.0000,1.0,591.6505,593.1668,58.2958,49.4097,70.6098,-0.2327,20.5102,20.7430,18.6626,61.8283,60.0000,0.0000,591.6505,522.0346,661.2664,1048177202.8132,3340934117.0000
2021-04-26,607.4018,619.16,605.0,619.12,619.12,4944927,0.0000,1.0,586.7835,590.8402,59.1620,31.7891,49.7374,0.3940,21.1952,20.8011,18.7568,58.2716,65.0000,0.0000,586.7835,511.1066,662.4604,1051581936.9508,3345048442.0000
2021-04-23,597.3745,613.395,596.01,610.61,610.61,5694305,0.0000,1.0,581.5060,587.8634,57.8468,22.9988,27.8819,0.6665,21.3691,20.7026,19.0342,49.8886,70.0000,0.0000,581.5060,501.0169,661.9951,1046664947.3915,3340103515.0000
2021-04-22,615.0,617.5427,591.34,594.01,594.01,6944657,0.0000,1.0,576.0460,585.4690,55.1714,27.4592,17.7482,1.6108,22.1468,20.5360,19.4627,46.4579,75.0000,5.0000,576.0460,489.6000,662.4920,1042795047.2721,3334409210.0000
2021-04-21,604.75,614.5,604.09,614.42,614.42,5419426,0.0000,1.0,571.6315,584.5699,59.5890,44.1475,23.3662,4.3741,24.5074,20.1333,19.9137,68.9461,80.0000,10.0000,571.6315,480.4198,662.8432,1048324412.3984,3341353867.0000
2021-04-20,612.93,619.88,598.52,606.85,606.85,8353326,0.0000,1.0,567.0520,581.4278,58.4157,64.5488,41.2633,6.0460,25.0858,19.0398,20.0169,72.2419,85.0000,15.0000,567.0520,475.6965,658.4075,1042988282.0910,3335934441.0000
2021-04-19,621.4616,632.3,609.3201,614.47,614.47,10110452,0.0000,1.0,563.0820,578.7518,60.0838,80.4851,67.8130,8.7017,26.2300,17.5283,20.1256,99.0820,90.0000,20.0000,563.0820,472.0893,654.0747,1044826326.6697,3344287767.0000
2021-04-16,642.1235,646.63,634.61,636.5,636.5,8380189,0.0000,1.0,558.0500,574.9920,65.1971,87.0118,84.5700,11.1801,26.5330,15.3529,19.9224,149.7285,95.0000,25.0000,558.0500,467.8535,648.2465,1050405182.2089,3354398219.0000
2021-04-15,626.5,648.566,625.26,645.49,645.49,14962017,0.0000,1.0,551.6700,568.5175,67.4215,90.0236,89.0724,11.7328,24.2907,12.5579,18.8708,174.9107,100.0000,30.0000,551.6700,466.6709,636.6691,1056150003.9526,3362778408.0000
2021-04-14,625.0,628.8184,609.1,611.08,611.08,9637548,0.0000,1.0,546.0780,560.4151,62.8074,89.8615,87.3929,10.5354,20.1601,9.6247,17.7637,159.0926,100.0000,35.0000,546.0780,472.5643,619.5917,1045137456.1273,3347816391.0000
2021-04-13,609.26,628.0,605.03,627.18,627.18,16905297,0.0000,1.0,542.1065,555.0820,67.0270,90.3497,93.6055,11.1074,18.0982,6.9908,16.9130,202.3539,100.0000,40.0000,542.1065,474.7436,609.4694,1052839517.9783,3357453939.0000
2021-04-12,571.59,614.1,565.57,608.36,608.36,21733050,0.0000,1.0,537.1300,547.4927,64.3686,88.2259,88.5860,9.3501,13.5640,4.2139,16.0313,185.7761,100.0000,45.0000,537.1300,482.0574,592.2026,1037141216.4976,3340548642.0000
