,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SMA,EMA,RSI,SlowD,SlowK,MACD_Hist,MACD,MACD_Signal,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV
2021-04-30,182.18,182.8956,179.13,180.51,180.51,6193598,1.0200,1.0,188.9786,186.0167,47.3584,42.1233,24.4338,-1.4546,0.4190,1.8736,14.7096,-155.4704,5.0000,90.0000,180.4742,197.4831,188.9786,861786634.1162,885959406.0000
2021-04-29,183.63,186.05,182.65,185.82,184.775894893,4547337,0.0000,1.0,189.5022,186.5964,50.9011,59.1424,43.7851,-1.2397,0.9976,2.2372,15.0282,-123.9167,10.0000,95.0000,181.9070,197.0974,189.5022,863440628.7382,892153004.0000
2021-04-28,181.64,184.0,180.0,181.82,180.798370517,9434237,0.0000,1.0,189.6598,186.7880,47.4168,63.5102,58.1510,-1.2600,1.2871,2.5471,15.6369,-206.6363,15.0000,100.0000,182.3375,196.9821,189.6598,859508519.6862,887605667.0000
2021-04-27,191.055,192.51,189.78,190.21,189.141227896,3864051,0.0000,1.0,189.8646,187.4185,55.2262,58.0204,75.4911,-0.8191,2.0430,2.8621,16.0261,-0.8499,20.0000,0.0000,183.3621,196.3672,189.8646,860357601.0166,897039904.0000
2021-04-26,188.86,192.18,187.885,191.36,190.284766154,3842256,0.0000,1.0,189.6643,187.2372,56.4365,40.4017,56.8885,-0.9383,2.1286,3.0669,16.0253,-3.3862,25.0000,0.0000,182.8456,196.4829,189.6643,863004405.1824,900903955.0000
2021-04-23,187.02,190.01,186.51,188.82,187.759038176,3512433,0.0000,1.0,189.5072,186.9164,54.3367,27.8441,41.6817,-1.2110,2.0904,3.3015,16.0623,-40.4023,30.0000,0.0000,182.6086,196.4057,189.5072,860629273.7087,897061699.0000
2021-04-22,186.66,188.79,184.77,185.8,184.756007272,3853113,0.0000,1.0,188.9936,186.8277,51.7074,21.0895,22.6349,-1.3357,2.2685,3.6042,16.3528,-59.4375,35.0000,5.0000,180.3437,197.6434,188.9936,859505295.1469,893549266.0000
2021-04-21,187.9,189.14,184.96,188.9,187.838588663,4796529,0.0000,1.0,188.6505,187.0457,54.7834,26.6930,19.2156,-1.1696,2.7686,3.9382,16.8050,-29.2660,40.0000,10.0000,178.8835,198.4175,188.6505,861383927.3556,897402379.0000
2021-04-20,186.98,186.98,184.28,185.27,184.228985292,4258954,0.0000,1.0,188.1473,186.9623,51.5790,35.0391,21.4178,-1.1779,3.0527,4.2306,17.2549,-52.4251,45.0000,15.0000,177.2890,199.0057,188.1473,857138195.9451,892605850.0000
2021-04-19,190.3454,191.1,186.72,187.06,186.00892745,5334947,0.0000,1.0,187.8903,187.2500,53.3502,39.6261,39.4455,-0.7866,3.7384,4.5251,17.9820,-6.5908,50.0000,0.0000,176.4455,199.3351,187.8903,858273917.0111,896864804.0000
